BARDID,VesselID,RegistrationNumber,VesselEvent1,VesselEvent2,VesselEvent3,OtherVesselEvent,VesselCause1,VesselCause2,VesselCause3,OtherVesselCause,VesselEquipmentFailure,OtherEquipmentFailure,VesselMachineryFailure,OtherMachineryFailure,OperatorGender,OperatorAge,OperatorExperience,OperatorOtherEducation,OperatorEducation,OperatorPFDWorn,OperatorUsingAlcohol,OperatorUsingDrugs,WeatherReportsConsulted,InternetTrainingOrganization,EngineCutOffSwitchUsed,OWIArrest,BAC,DocumentNumber,HistoricalCodingVesselType,VesselType,OtherVesselType,Length,EngineType,OtherEngineType,HullMaterial,OtherHullMaterial,FuelType,Propulsion,Operation,OtherOperation,Activity,OtherActivity,RentedBoat,Manufacturer,Model,HIN,EngineManufacturer,VesselName,NumberofEngines,Horsepower,BeamWidth,DepthinFeet,DepthinInches,ModelYear,NumberBoatingCitations,VesselaCompleteLoss,NumberPeopleOnboard,NumberPeopleTowed,NumberPeopleWearingLifeJackets,NumberLifeJacketsOnboard,NumberFireExtOnboard,NumberFireExtUsed,DamagetoVessel,VesselDamageDescription,DamagetoNonVesselProperty,NonVesselPropertyDamageDescription,AmountFireExtUsed,FireExtType,NumberDeaths,NumberInjured
AR-2023-0047,1,AR 668 DTX,Collision with submerged object,Fire/explosion (fuel),,,Other,Excessive speed,,Unseen water hazard,,,,,-1,45,101 to 500 hours,,No education,N,N,N,N,,,0,,,,Open motorboat,,15,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,0,WACO,EDGE,WAC36595D020,,,1,40,,,,2020,,Y,1,0,,,,,15000.0,"OPEN MOTORBOAT - STARBOARD SIDE DAMAGE, OVERTURNED AND BURNT.",,,,,0.0,0.0
AR-2023-0048,1,AR 868 DXM,Vessel struck by another vessel,Fall in vessel,Person struck by vessel,,Unknown,,,,,,,,-1,46,10 to 100 hours,,No education,N,Y,N,N,,,0,0.017,,,Pontoon,,25,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,HARRIS,LEISURE,HAMP2906I223,,,1,400,,,,2023,,Y,3,0,,,,0,150000.0,PONTOON BOAT - BOW AND PORT SIDE,,,,,1.0,1.0
AK-2023-0002,1,AK3154M,Collision with fixed object,Fall in vessel,,,Sudden medical condition,Operator inattention,,,,,,,-1,51,101 to 500 hours,,Unknown,N,N,,Y,,,,,,,Open motorboat,,18,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,0,Lund,,LUNV0759D191,Yamaha,,1,65,,,,1991,,N,1,0,,,,0,10000.0,Structural damage,,,,,0.0,1.0
AK-2023-0003,1,,Grounding,Capsizing,Person ejected from vessel,,Unknown,,,,,,,,-1,41,Unknown,,Unknown, ,,,,,,,,,,Open motorboat,,,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,0,,,,,,,,,,,,,,4,0,,,,0,,,,,,,1.0,0.0
AK-2023-0004,1,,Capsizing,Person ejected from vessel,,,Alcohol,,,,,,,,,,Unknown,,Unknown,,,,,,,,,,,Canoe,,18,No engine,,Unknown,,No fuel,Manual,Rowing/paddling,,Boating/relaxation,,,,,,,,0,0,,,,,,N,3,0,,,,0,,,,,,,1.0,0.0
AK-2023-0005,2,8703 AW,Other,,,Struck by activity equip,Improper lookout,Operator inattention,,,,,,,-1,31,Unknown,,Unknown,Y,N,N,,,,,,,,Personal watercraft,,20,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,SEA-DOO,,YDV69544C222,,,,,,,,2022,,,1,0,,,,0,,,,,,,1.0,0.0
AK-2023-0005,3,AK 8428 AJ,Skier mishap,,,,Other,,,Passenger/skier behavior,,,,,-1,24,Unknown,,Unknown, ,,,,,,,,,,Open motorboat,,20,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Towed watersports,,0,Mastercraft,,,,,,,,,,2007,,,3,1,,,,0,,,,,,,0.0,0.0
AK-2023-0006,1,,Collision with fixed object,Person ejected from vessel,Capsizing,,Improper lookout,Operator inexperience,Hazardous waters,,,,,,-1,67,10 to 100 hours,,Unknown,N,N,N,,,,,,,,Canoe,,,No engine,,Aluminum,,No fuel,Manual,Rowing/paddling,,Boating/relaxation,,0,,,,,,0,0,,,,,,,1,0,,,,0,500.0,,100.0,,,,1.0,0.0
AK-2023-0007,1,,Person ejected from vessel,,,,Hazardous waters,,,,,,,,-1,70,101 to 500 hours,,Unknown,Y,N,N,Y,,,,,,,Inflatable,,12,No engine,,Rubber/vinyl/canvas,,No fuel,Manual,Drifting,,Boating/relaxation,,0,,,,,,0,0,,,,,,N,2,0,,,,0,,,,,,,1.0,0.0
AK-2023-0008,1,,Flooding/swamping,Person ejected from vessel,,,Unknown,,,,,,,,,,Unknown,,Unknown,,,,,,,,,,,Open motorboat,,,Unknown,,Unknown,,Unknown,Propeller,Unknown,,Fishing,,,,,,,,,,,,,,,,2,0,,,,0,,,,,,,1.0,0.0
AK-2023-0009,1,,Capsizing,Person ejected from vessel,Flooding/swamping,,Hazardous waters,,,,,,,,-1,43,Unknown,,Unknown,N,N,,,,,,,,,Kayak,,10,No engine,,Plastic,,No fuel,Manual,Rowing/paddling,,Boating/relaxation,,0,,,,,,0,0,,,,,,N,1,0,,,,0,,,,,,,1.0,0.0
AK-2023-0010,1,AK 3850 AM,Collision with recreational vessel,Flooding/swamping,Grounding,,Improper lookout,Operator inattention,,,,,,,-1,69,101 to 500 hours,US Army,Other,Y,N,N,,,,,,,,Cabin motorboat,,28,Outboard,,Aluminum,,Gas,Propeller,Changing speed,,Fishing,,0,Alweld,2870 VT,AWL?0108A808,Honda,,1,225,8,,10,2008,,,5,0,,,,0,,,,,,,0.0,0.0
AK-2023-0010,2,,Vessel struck by another vessel,Person ejected from vessel,,,Unknown,,,,,,,,-1,,Unknown,,Unknown,N,,,,,,,,,,Unknown,,,Unknown,,Unknown,,Unknown,Unknown,Changing speed,,Boating/relaxation,,,,,,,,,,,,,,,N,2,0,,,,0,5000.0,damage to port gunnel,,,,,0.0,0.0
AK-2023-0011,1,,Person departed vessel,,,,Alcohol,,,,,,,,-1,37,Unknown,,Unknown, ,Y,,,,,-1,,,,Unknown,,,Unknown,,Unknown,,Unknown,Unknown,Cruising,,Boating/relaxation,,0,,,,,,,,,,,,,N,4,0,,,,0,,,,,,,1.0,0.0
AK-2023-0012,1,2988AR,Capsizing,Person ejected from vessel,,,Hazardous waters,Weather,,,,,,,-1,47,Unknown,,Unknown,Y,N,N,N,,,0,,,,Open motorboat,,16,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Fishing,,-1,River Baron,,RBOXX634A616,,,,,,,,2016,,N,4,0,,4,1,0,,,,,,B,1.0,2.0
AK-2023-0014,1,,Capsizing,Person ejected from vessel,,,Unknown,,,,,,,,,,Unknown,,Unknown,,,,,,,,,,,Inflatable,Raft,,No engine,,Rubber/vinyl/canvas,,No fuel,Manual,Rowing/paddling,,Boating/relaxation,,0,,,,,,0,0,,,,,,N,5,0,,,,0,,,,,,,0.0,1.0
AK-2023-0015,1,3066 AR,Flooding/swamping,Capsizing,Person ejected from vessel,,Weather,Hazardous waters,,,,,,,-1,52,101 to 500 hours,Navy,Other,Y,N,N,Y,,,0,,,,Open motorboat,,22,Outboard,,Fiberglass,,Gas,Propeller,Idling,,Fishing,,-1,Defiance,220 Commd,DFB22314A616,Yamaha,#14,1,150,8,2,,2015,,Y,4,0,,,,0,50000.0,,,,,,0.0,4.0
AK-2023-0016,1,,Collision with floating object,Capsizing,Person ejected from vessel,,Machinery failure,Hazardous waters,,,,,Engine,,-1,49,Unknown,,Unknown,N,N,N,,,,,,,,Open motorboat,,14,Outboard,,Aluminum,,Gas,Water jet,Drifting,,Fishing,,0,,,,,,,,,,,,,,4,0,,,,0,,,,,,,1.0,0.0
AK-2023-0017,1,,Capsizing,Person ejected from vessel,,,Overloading,Hazardous waters,,,,,,,-1,36,Unknown,,Unknown,N,N,N,,,,,,,,Open motorboat,,,Unknown,,Unknown,,Gas,Propeller,Cruising,,Boating/relaxation,,0,,,,,,,,,,,,,N,2,0,,,,0,,,,,,,1.0,0.0
AK-2023-0018,1,,Falls overboard,,,,Unknown,,,,,,,,-1,67,Unknown,,Unknown, ,N,,,,,,,,,Unknown,,,Unknown,,Unknown,,Unknown,Unknown,Cruising,,Boating/relaxation,,,,,,,,,,,,,,,,1,0,,,,0,,,,,,,1.0,0.0
AK-2023-0019,1,None,Collision with submerged object,Person ejected from vessel,,,Alcohol,Improper lookout,Operator inattention,,,,,,-1,37,101 to 500 hours,,No education,Y,Y,N,,,,,,,,Open motorboat,,20,Outboard,,Aluminum,,Gas,Propeller,Changing speed,,Boating/relaxation,,0,Alweld,Flat Bottom,MAKD8837B787,Mercury,,,60,,,,1988,,N,2,0,,,,0,3000.0,unknown damage caused by collision,,,,,2.0,0.0
AK-2023-0020,1,5025 AN,Falls overboard,,,,Unknown,,,,,,,,-1,70,Unknown,,Unknown,N,N,N,,,,0,,,,Open motorboat,,16,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Fishing,,0,Gregor,Mustang,,,,,,,,,,,,1,0,,,,0,,,,,,,1.0,0.0
AK-2023-0021,1,,Flooding/swamping,Sinking,Person ejected from vessel,,Alcohol,Operator inattention,Hazardous waters,,,,,,-1,43,Unknown,,Unknown,N,Y,,,,,,,,,Open motorboat,,18,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,0,Lund,Ocean Pro,,,,1,90,,,,,,N,2,0,,,,0,,,,,,,1.0,1.0
AK-2023-0022,1,,Flooding/swamping,Falls overboard,,,Unknown,,,,,,,,0,25,Unknown,,Unknown, ,N,,,,,,,,,Open motorboat,,,Outboard,,Aluminum,,Unknown,Propeller,Cruising,,Boating/relaxation,,,,,,,,,,,,,,,,1,0,,,,0,,,,,,,1.0,0.0
AK-2023-0023,1,,Capsizing,Person ejected from vessel,,,Unknown,,,,,,,,,,Unknown,,Unknown,,,,,,,,,,,Open motorboat,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,,Boating/relaxation,,,,,,,,,,,,,,,,3,0,,,,0,,,,,,,2.0,0.0
AK-2023-0024,1,,Collision with commercial vessel,Person ejected from vessel,,,Improper lookout,Operator inattention,,,,,,,-1,22,Unknown,,Unknown,N,N,,,,,,,,,Open motorboat,,14,Outboard,,Unknown,,Gas,Propeller,Cruising,,Boating/relaxation,,0,,,,,,,,,,,,,Y,2,0,,,,0,,,,,,,2.0,0.0
AK-2023-0024,2,,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Other,Tugboat,119,Unknown,,Unknown,,Unknown,Unknown,Being towed,,Commercial,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0.0,0.0
AK-2023-0025,1,,Capsizing,Person ejected from vessel,,,Hazardous waters,Operator inexperience,,,,,,,0,49,Unknown,,Unknown,Y,N,N,N,,N,0,,,,Kayak,,17,No engine,,Fiberglass,,No fuel,Manual,Rowing/paddling,,Boating/relaxation,,0,,,,,,0,0,,,,,,Y,1,0,,,,0,,,,,,,0.0,0.0
AK-2023-0025,2,,Capsizing,Person ejected from vessel,,,Hazardous waters,Operator inexperience,,,,,,,-1,50,Unknown,,Unknown,Y,N,N,N,,N,0,,,,Kayak,,,No engine,,Unknown,,No fuel,Manual,Rowing/paddling,,Racing,,0,,,,,,0,0,,,,,,Y,1,0,,,,0,,not recovered,,,,,0.0,0.0
AK-2023-0026,1,,Grounding,Fall in vessel,,,Alcohol,Operator inattention,Improper lookout,,,,,,-1,33,Unknown,,Unknown, ,,,,,,0,,,,Open motorboat,,28,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,0,Alweld,,AWLC1539G920,,,,,,,,2020,,N,2,0,,,,0,,,,,,,0.0,1.0
AK-2023-0027,1,,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,1244028,,Cabin motorboat,,38,Inboard,,Fiberglass,,Diesel,Propeller,Tied to dock/mooring,,Boating/relaxation,,0,Bayliner,3870,BLBA05EL0882,Chrysler,Sephora Bella,2,240,14,8,,1982,,,2,0,,,4,0,60000.0,Details of vessel damage unknown. It was reported that the vessel was hit on the starboard side near,,,,ABC,0.0,0.0
AK-2023-0027,2,,Collision with recreational vessel,,,,Improper lookout,Operator inattention,,,,,,,-1,,Unknown,,Unknown, ,,,,,,,,,,Cabin motorboat,,,Unknown,,Unknown,,Unknown,Unknown,Changing direction,,Boating/relaxation,,,Yenta,,,,,,,,,,,,,2,0,,,,0,,,,,,,0.0,0.0
AK-2023-0028,1,,Collision with floating object,,,,Hazardous waters,,,,,,,,-1,22,Unknown,,Unknown, ,,,,,,,,,,Canoe,,,No engine,,Unknown,,No fuel,Manual,Rowing/paddling,,Hunting,,,,,,,,0,0,,,,,,,,0,,,,0,,,,,,,0.0,2.0
AK-2023-0028,2,,Collision with floating object,,,,Hazardous waters,,,,,,,,-1,24,Unknown,,Unknown, ,,,,,,,,,,Canoe,,,No engine,,Unknown,,No fuel,Manual,Rowing/paddling,,Hunting,,,,,,,,0,0,,,,,,,,0,,,,0,,,,,,,0.0,1.0
AL-2023-0001,1,AL0924RA,Collision with submerged object,Flooding/swamping,Sinking,,Other,,,Unseen water hazard,,,,,-1,49,101 to 500 hours,,Unknown, ,,,,,,,,,,Cabin motorboat,,34,Inboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,,Silverton,Silverton,STNS0202G596,,n/a,2,400,,,,1996,,,2,,,,,,44000.0,,,,,,0.0,0.0
AL-2023-0002,1,AL6938VR,Collision with recreational vessel,,,,Navigation rules violation,Operator inexperience,,,,,,,0,44,Under 10 hours,,Unknown, ,,,,,,,,,,Open motorboat,,25,Inboard,,Fiberglass,,Gas,Water jet,Changing speed,,Boating/relaxation,,,YAMAHA,AR250,YAMC0072F222,,,2,3624,,,,2022,,,9,,,,,,,,,,,,0.0,0.0
AL-2023-0002,2,AL3133VT,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,-1,30,101 to 500 hours,,State, ,,,,,,,,,,Open motorboat,,20,Outboard,,Fiberglass,,Gas,Propeller,Changing speed,,Boating/relaxation,,,KEY WEST,203FS,KWETC270B222,,,1,200,,,,2022,,,5,,,,,,4055.0,,,,,,0.0,0.0
AL-2023-0003,1,AL3050NK,Grounding,Collision with fixed object,Person ejected from vessel,,Alcohol,Navigation rules violation,,,,,,,-1,19,10 to 100 hours,,State,Y,Y,Y,,,,,0.13,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,,Yamaha,FX Cruiser SVHO,YAMA0144C121,,N/A,1,245,,,,2021,,,2,0,,,,0,14799.0,,,,,,1.0,1.0
AL-2023-0004,1,AL6817VK,Fire/explosion (fuel),,,,Failure to vent,Ignition of spilled fuel or vapor,,,,,,,-1,48,101 to 500 hours,,State, ,N,,,,,,,,,Open motorboat,,19,Outboard,,Fiberglass,,Gas,Propeller,Tied to dock/mooring,,Starting engine,,,Team Sail,N/A,YSIF0122J899,,N/A,1,115,,,,1999,,,1,,,,,,,,,,,,0.0,1.0
AL-2023-0005,1,MI-9262-CB,Collision with recreational vessel,Fall in vessel,,,Alcohol,Improper lookout,,,,,,,-1,49,101 to 500 hours,,Unknown, ,Y,,,,,-1,0.11,,,Open motorboat,,28,Sterndrive,,Fiberglass,,Gas,Propeller,Docking/undocking,,Boating/relaxation,,,CHAPARRAL,284,FGBF0121A414,,GETTIN REELY,1,380,,,,2014,,,4,,,,,,1000.0,,,,,,0.0,1.0
AL-2023-0005,2,MI-1453-BY,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Open motorboat,,26,Outboard,,Fiberglass,,Gas,Propeller,Tied to dock/mooring,,None; not in use,,,EVERGLADESS,275CC,RJDP0009H112,,N/A,2,600,,,,2012,,,,,,,,,,,,,,,0.0,0.0
AL-2023-0006,1,AL0604VB,Collision with recreational vessel,,,,Restricted vision,Navigation rules violation,,,,,,,-1,46,101 to 500 hours,,State, ,,,,,,,,,,Open motorboat,,20,Outboard,,Fiberglass,,Gas,Propeller,Changing direction,,Boating/relaxation,,,ROBALO,202EX,R0BY0191K718,,N/A,1,150,,,,2020,,,3,,,,,,1500.0,,,,,,0.0,0.0
AL-2023-0006,2,AL1234MC,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Open motorboat,,22,Outboard,,Fiberglass,,Gas,Propeller,Tied to dock/mooring,,None; not in use,,,RANGER,22X,FMLT2709G122,,N/A,1,250,,,,2022,,,,,,,,,2000.0,,,,,,0.0,0.0
AL-2023-0007,1,AL6264HT,Collision with fixed object,Capsizing,Person ejected from vessel,,Machinery failure,Hazardous waters,Operator inattention,,,,Engine,,-1,63,Under 10 hours,,Unknown,N,N,N,,,,,,,,Open motorboat,,16,Outboard,,Aluminum,,Gas,Propeller,Drifting,,Fishing,,,Bass Tracker,N/A,BUJ07466M81J,,N/A,1,40,,,,1981,,,2,0,,,,0,,,,,,,1.0,0.0
AL-2023-0008,1,AL-1567-ZZ,Flooding/swamping,Falls overboard,Collision with fixed object,,Navigation rules violation,Sharp turn,,,,,,,-1,36,101 to 500 hours,,State, ,,,,,,,,,,Open motorboat,,18,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,,RAZORFISH,KARMA,RBPKARMAJ223,,NA,1,30,,,,2023,,,2,,,,,,16000.0,,,,,,0.0,0.0
AL-2023-0009,1,AL6942MC,Collision with recreational vessel,,,,Operator inexperience,Navigation rules violation,,,,,,,-1,66,10 to 100 hours,,State, ,,,,,,,,,,Open motorboat,,25,Sterndrive,,Fiberglass,,Gas,Propeller,Docking/undocking,,Boating/relaxation,,,CROWNLINE,E5,KIS76275L910,,NA,1,300,,,,2010,,,2,,,,,,15000.0,,,,,,0.0,0.0
AL-2023-0009,2,AL5835VK,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Pontoon,,24,Outboard,,Aluminum,,Gas,Propeller,Tied to dock/mooring,,None; not in use,,,BENNINGTON,LX24,ETWK6499B121,,NA,1,250,,,,2021,,,,,,,,,20000.0,,,,,,0.0,0.0
AL-2023-0010,1,AL-0071-VT,Collision with submerged object,Capsizing,Person ejected from vessel,,Other,,,Unseen water hazard,,,,,-1,51,101 to 500 hours,,State,Y,N,,,,,,,,,Open motorboat,,20,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,,Allison,001 river racer,ALTX1B48J001-DRG,,,1,200,,,,2001,,,1,0,,,,0,3000.0,,,,,,0.0,1.0
AL-2023-0011,1,AL-3250-LV,Person departed vessel,Person struck by propeller,,,Navigation rules violation,,,,,,,,-1,30,10 to 100 hours,,State, ,,,,,,,,,,Open motorboat,,19,Sterndrive,,Fiberglass,,Gas,Propeller,Changing speed,,Boating/relaxation,,,Tahoe,Deckboat,BUJ12575L102,,,1,135,,,,2002,,,3,,,,,,,,,,,,0.0,1.0
AL-2023-0012,1,GA-8587-LA,Collision with recreational vessel,Person ejected from vessel,,,Improper lookout,Navigation rules violation,Operator inattention,,,,,,-1,63,101 to 500 hours,,State,N,N,,,,,,,,,Open motorboat,,20,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Fishing,Fishing tournament,,Skeeter,250,STE76761J213,,,1,250,,,,2013,,,2,,,,,,2500.0,,,,,,0.0,2.0
AL-2023-0012,2,AL-1331-VK,Collision with recreational vessel,,,,Improper lookout,Operator inattention,,,,,,,-1,42,101 to 500 hours,,State, ,,,,,,,,,,Open motorboat,,21,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Fishing,Fishing tournament,,Blazer,650 Pro,PNS211481021,,,1,250,,,,2021,,,2,,,,,,3000.0,,,,,,0.0,0.0
AL-2023-0013,1,1148761,Collision with recreational vessel,,,,Machinery failure,,,,,,Shift,,-1,47,101 to 500 hours,,Unknown, ,,,,,,,,,,Cabin motorboat,,51,Inboard,,Fiberglass,,Diesel,Propeller,Changing direction,,Making repairs,,,BERTRAM,510,BERN2032K102,,PAIR A DICE,2,1600,,,,2002,,,2,,,,,,500.0,,,,,,0.0,0.0
AL-2023-0013,2,AL-3667-WJ,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Pontoon,,24,Outboard,,Aluminum,,Gas,Propeller,Tied to dock/mooring,,None; not in use,,-1,SOLID CRAFT,PONTOON,SCY24D03L617,,,1,115,,,,2017,,,,,,,,,1500.0,,,,,,0.0,0.0
AL-2023-0014,1,AL-7716-FX,Flooding/swamping,Capsizing,,,Weather,,,,,,,,-1,67,101 to 500 hours,,State, ,,,,,,,,,,Open motorboat,,14,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,,ALUMACRAFT,1436LT,ACBR3919K617,,,1,15,,,,2017,,,1,,,,,,5000.0,,,,,,0.0,0.0
AL-2023-0015,1,AL-3331-VR,Collision with recreational vessel,Collision with fixed object,,,Restricted vision,,,,,,,,-1,31,101 to 500 hours,,State, ,,,,,,,,,,Pontoon,,24,Outboard,,Aluminum,,Gas,Propeller,Docking/undocking,,Boating/relaxation,,,Tahoe,24LTZ QL,DVN18625D122,,NA,1,175,,,,2022,,,6,,,,,,,,,,,,0.0,0.0
AL-2023-0015,2,980382,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Cabin motorboat,,64,Inboard,,Aluminum,,Diesel,Propeller,Tied to dock/mooring,,None; not in use,,,Custom Made,Custom Made,NA,,OUTCAST,2,750,,,,1991,,,,,,,,,2000.0,,,,,,0.0,0.0
