file,incident_id,date,year,state,body_of_water,city,county,facility_name,incident_type,fatality_count,injury_count,near_miss_count,verification_level,is_freshwater_private_dock,is_freshwater_marina,esdpa_listed,lat,lon,query_used,match_type,display_name,from_cache
ESD-1998-09-00-2.md,ESD-1998-09-00-2,1998-09,1998,CA,Sacramento River / Sacramento-San Joaquin River Delta,Rio Vista,Solano,,fatal,2,0,0,UNVERIFIED,False,True,True,38.1557502,-121.6913439,"Rio Vista, CA",city+state,"Rio Vista, Solano County, California, United States",False
ESD-1999-07-00-1.md,ESD-1999-07-00-1,1999-07,1999,SC,,,,,fatal,1,1,0,UNVERIFIED,False,False,True,33.856892,-80.945007,SC,state_centroid,(state centroid: SC),True
ESD-1999-07-00-2.md,ESD-1999-07-00-2,1999-07,1999,AZ,Lake Mohave,,Mohave,,fatal,1,0,0,SUSPECTED,False,False,False,35.6055696,-114.6561661,"Lake Mohave, AZ",body+state,"Lake Mohave, Bullhead City, Searchlight Township, Clark County, Nevada, United States",False
ESD-1999-07-18-1.md,ESD-1999-07-18-1,1999-07-18,1999,AZ,Lake Mohave,,Mohave,,fatal,1,0,0,UNVERIFIED,False,False,True,35.6055696,-114.6561661,"Lake Mohave, AZ",body+state,"Lake Mohave, Bullhead City, Searchlight Township, Clark County, Nevada, United States",True
ESD-1999-07-18-2.md,ESD-1999-07-18-2,1999-07-18,1999,TN,Center Hill Lake,Smithville,DeKalb,Sligo Marina (B pier),fatal,1,1,0,UNVERIFIED,False,True,True,35.9921594,-85.7164195,"Center Hill Lake, TN",body+state,"Center Hill Lake, DeKalb County, Middle Tennessee, Tennessee, United States",False
ESD-1999-08-01-1.md,ESD-1999-08-01-1,1999-08-01,1999,OR,Multnomah Channel (Willamette River),Scappoose,Columbia,,fatal,1,1,0,VERIFIED,False,False,True,45.7467075,-122.8360411,"Multnomah Channel, OR",body+state,"Multnomah Channel, Saint Helens, Columbia County, Oregon, United States",False
ESD-2000-00-00-1.md,ESD-2000-00-00-1,2000,2000,TN,Norris Lake,Lafollette,,Whitman Hollow Marina,fatal,1,1,0,UNVERIFIED,False,True,True,36.3571627,-83.6848061,"Norris Lake, TN",body+state,"Norris Lake, La Follette, Union County, East Tennessee, Tennessee, United States",False
ESD-2000-09-00-1.md,ESD-2000-09-00-1,2000-09,2000,NY,Niagara River,Grand Island,Erie,,near-miss,0,0,1,UNVERIFIED,False,False,True,43.0569709,-79.00034,"Niagara River, NY",body+state,"Niagara River, Erie County, New York, United States",False
ESD-2000-09-30-1.md,ESD-2000-09-30-1,2000-09-30,2000,TN,Tims Ford Lake,Winchester,Franklin,,fatal,2,0,1,CONFIRMED,True,False,True,35.221094,-86.2721255,"Tims Ford Lake, TN",body+state,"Tims Ford Lake, Winchester, Franklin County, Middle Tennessee, Tennessee, United States",False
ESD-2000-09-30-2.md,ESD-2000-09-30-2,2000-09-30,2000,OH,Lake Erie,Put-in-Bay,Ottawa,Possibly Crew's Nest (per local source),fatal,1,0,0,UNVERIFIED,False,False,True,42.1432251,-81.2394356,"Lake Erie, OH",body+state,"Lake Erie, Ohio, 43452, United States",False
ESD-2001-04-10-1.md,ESD-2001-04-10-1,2001-04-10,2001,LA,,New Orleans,,,fatal,1,0,0,UNVERIFIED,False,False,True,29.9561422,-90.0733934,"New Orleans, LA",city+state,"New Orleans, Orleans Parish, Louisiana, United States",False
ESD-2001-06-06-1.md,ESD-2001-06-06-1,2001-06-06,2001,AR,Lake Hamilton,Hot Springs,Garland,Farr Shores,fatal,1,1,0,UNVERIFIED,False,False,True,34.425335,-93.088864,"Lake Hamilton, AR",body+state,"Lake Hamilton, Hot Springs, Garland County, Arkansas, United States",True
ESD-2001-06-22-1.md,ESD-2001-06-22-1,2001-06-22,2001,VA,Lake Montclair,Dumfries,Prince William,"Private dock, Timber Ridge Drive, Montclair community",fatal,2,1,0,VERIFIED,True,False,True,38.6132128,-77.3510548,"Lake Montclair, VA",body+state,"Lake Montclair, Montclair, Prince William County, Virginia, United States",False
ESD-2001-09-15-1.md,ESD-2001-09-15-1,2001-09-15,2001,MS,Biloxi Bay,Biloxi,Harrison,"Bay Marine Boat Works (151 5th St, Biloxi, MS 39530)",fatal,1,0,0,UNVERIFIED,False,False,True,30.3838101,-88.8289167,"Biloxi Bay, MS",body+state,"Biloxi Bay, Harrison County, Mississippi, United States",False
ESD-2002-00-00-1.md,ESD-2002-00-00-1,2002,2002,FL,,,,Multiple Florida marinas (aggregate report),near-miss,0,0,1,UNVERIFIED,False,False,True,27.766279,-81.686783,FL,state_centroid,(state centroid: FL),True
ESD-2002-05-00-1.md,ESD-2002-05-00-1,2002-05,2002,KY,Lake Cumberland,Monticello,Wayne,Marina houseboat dock,fatal,2,0,0,CONFIRMED,False,True,True,36.9385265,-85.0196128,"Lake Cumberland, KY",body+state,"Lake Cumberland, Burnside, Russell County, Kentucky, United States",True
ESD-2002-05-00-2.md,ESD-2002-05-00-2,2002-05,2002,TX,Apartment complex swimming pool,Arlington,Tarrant,"Apartment complex pool, Arlington TX",fatal,1,1,0,CONFIRMED,False,False,False,32.7355816,-97.1071186,"Arlington, TX",city+state,"Arlington, Tarrant County, Texas, United States",False
ESD-2002-07-00-1.md,ESD-2002-07-00-1,2002-07,2002,GA,Allatoona Lake,,,,near-miss,0,1,2,UNVERIFIED,False,False,True,34.1327957,-84.6295701,"Allatoona Lake, GA",body+state,"Allatoona Lake, Acworth, Cherokee County, Georgia, United States",False
ESD-2002-10-00-1.md,ESD-2002-10-00-1,2002-10,2002,SC,Lake Murray,,,,near-miss,0,0,1,UNVERIFIED,False,False,True,34.0850435,-81.2743362,"Lake Murray, SC",body+state,"Lake Murray, Lexington County, South Carolina, United States",False
ESD-2003-05-00-1.md,ESD-2003-05-00-1,2003-05,2003,GA,Allatoona Lake,,,Private houseboat dock,non-fatal,0,0,0,UNVERIFIED,True,False,True,34.1327957,-84.6295701,"Allatoona Lake, GA",body+state,"Allatoona Lake, Acworth, Cherokee County, Georgia, United States",True
ESD-2003-05-08-1.md,ESD-2003-05-08-1,2003-05-08,2003,FL,Canal (Caloosahatchee River estuary area),North Fort Myers,Lee,Private dock with boat lift,fatal,2,0,0,VERIFIED,False,False,True,28.8849077,-81.271505,"Canal, FL",body+state,"Canal, Deltona, Volusia County, Florida, 32728, United States",False
ESD-2003-08-00-1.md,ESD-2003-08-00-1,2003-08,2003,KY,Green River Lake,Campbellsville,Taylor,,near-miss,0,0,1,UNVERIFIED,False,True,True,37.2508354,-85.3005975,"Green River Lake, KY",body+state,"Green River Lake, Taylor County, Kentucky, United States",False
ESD-2004-05-31-1.md,ESD-2004-05-31-1,2004-05-31,2004,KY,Lake Barkley,Grand Rivers,Livingston,,near-miss,0,0,3,UNVERIFIED,False,False,True,36.8006785,-87.979596,"Lake Barkley, KY",body+state,"Lake Barkley, Grand Rivers, Trigg County, Middle Tennessee, Kentucky, United States",False
ESD-2004-06-05-1.md,ESD-2004-06-05-1,2004-06-05,2004,NC,Lake Wylie,Charlotte,,Houseboat dock,fatal,1,1,0,UNVERIFIED,False,False,True,35.110422,-81.0538064,"Lake Wylie, NC",body+state,"Lake Wylie, York County, South Carolina, United States",False
ESD-2004-06-19-1.md,ESD-2004-06-19-1,2004-06-19,2004,TX,Lake Travis,Austin,Travis,Marina dock,fatal,1,0,0,UNVERIFIED,False,True,True,30.4645913,-98.0783472,"Lake Travis, TX",body+state,"Lake Travis, Briarcliff, Travis County, Texas, 78663, United States",True
ESD-2004-06-19-2.md,ESD-2004-06-19-2,2004-06-19,2004,NC,Lake Waccamaw,Lake Waccamaw,Columbus,Private dock with motorized boat lift,fatal,1,0,0,CONFIRMED,True,False,True,34.3221707,-78.5220264,"Lake Waccamaw, NC",body+state,"Lake Waccamaw, Columbus County, North Carolina, United States",False
ESD-2004-07-00-1.md,ESD-2004-07-00-1,2004-07,2004,AZ,Saguaro Lake,,Maricopa,Saguaro Lake Marina,near-miss,0,0,1,UNVERIFIED,False,True,True,33.5671984,-111.5235893,"Saguaro Lake, AZ",body+state,"Saguaro Lake, Maricopa County, Arizona, United States",False
ESD-2004-07-00-2.md,ESD-2004-07-00-2,2004-07,2004,CA,Sacramento River,,,,near-miss,0,1,2,UNVERIFIED,False,False,True,40.6214141,-122.4461499,"Sacramento River, CA",body+state,"Sacramento River, Shasta County, California, 96087, United States",False
ESD-2004-08-08-1.md,ESD-2004-08-08-1,2004-08-08,2004,TX,Lake Travis,Austin,Travis,Marina dock (between two sections),fatal,1,0,0,SUSPECTED,False,True,True,30.4645913,-98.0783472,"Lake Travis, TX",body+state,"Lake Travis, Briarcliff, Travis County, Texas, 78663, United States",True
ESD-2004-09-12-1.md,ESD-2004-09-12-1,2004-09-12,2004,MS,Ross Barnett Reservoir,Ridgeland,Madison,Main Harbor Marina,fatal,1,0,1,VERIFIED,False,True,True,31.8332161,-89.5895143,"Ross Barnett Reservoir, MS",body+state,"Lake Ross Barnett, Smith Co Rd 50-A, Smith County, Mississippi, 39116, United States",False
ESD-2004-09-13-1.md,ESD-2004-09-13-1,2004-09-13,2004,MO,Lake of the Ozarks,Lake of the Ozarks,Camden,Private dock,fatal,1,0,0,CONFIRMED,True,False,True,38.1443725,-92.6594744,"Lake of the Ozarks, MO",body+state,"Lake of the Ozarks, Osage Beach, Camden County, Missouri, United States",False
ESD-2005-06-24-1.md,ESD-2005-06-24-1,2005-06-24,2005,NY,Lake Ontario,,,,near-miss,0,1,0,UNVERIFIED,False,False,True,43.3639683,-78.2326163,"Lake Ontario, NY",body+state,"Lake Ontario State Parkway, Town of Carlton, Orleans County, New York, 14571, United States",False
ESD-2005-06-28-1.md,ESD-2005-06-28-1,2005-06-28,2005,KY,Cave Run Lake,Morehead,Rowan,Scotts Creek Marina,fatal,1,1,0,VERIFIED,False,True,True,38.0364236,-83.4742679,"Cave Run Lake, KY",body+state,"Cave Run Lake, Rowan County, Kentucky, United States",False
ESD-2005-07-00-1.md,ESD-2005-07-00-1,2005-07,2005,NY,,Brooklyn,Kings,"Private marina, Brooklyn",near-miss,0,0,1,UNVERIFIED,False,False,True,40.6526006,-73.9497211,"Brooklyn, NY",city+state,"Brooklyn, Kings County, New York, United States",False
ESD-2006-03-18-1.md,ESD-2006-03-18-1,2006-03-18,2006,MO,Spring Lake (Summerset Lake subdivision),DeSoto,Jefferson,Private dock with electric boat lift and lighting,fatal,1,2,1,VERIFIED,True,False,True,38.0970704,-90.5760172,"Spring Lake, MO",body+state,"Fishermans Lake, Summer Set, Valle Township, Jefferson County, Missouri, United States",False
ESD-2006-05-21-1.md,ESD-2006-05-21-1,2006-05-21,2006,AL,Weiss Lake,Centre,Cherokee,Private dock/pier,fatal,1,2,0,VERIFIED,True,False,True,34.2020407,-85.6620895,"Weiss Lake, AL",body+state,"Weiss Lake, Centre, Cherokee County, Alabama, United States",False
ESD-2006-05-22-1.md,ESD-2006-05-22-1,2006-05-22,2006,WI,Lake Michigan,Racine,Racine,Racine Harbor,fatal,1,0,0,UNVERIFIED,False,True,True,44.099995,-87.6334166,"Lake Michigan, WI",body+state,"Lake Michigan, Manitowoc, Manitowoc County, Wisconsin, United States",False
ESD-2006-06-25-1.md,ESD-2006-06-25-1,2006-06-25,2006,AR,Lake Ouachita,Royal,Garland,Brady Mountain Resort,fatal,1,1,1,VERIFIED,False,True,True,34.6157417,-93.412892,"Lake Ouachita, AR",body+state,"Lake Ouachita, Montgomery County, Arkansas, United States",False
ESD-2006-07-02-1.md,ESD-2006-07-02-1,2006-07-02,2006,MN,Lake L'Homme Dieu,,Douglas,,near-miss,0,1,2,UNVERIFIED,False,False,True,45.9282176,-95.3529204,"Lake L'Homme Dieu, MN",body+state,"Lake Le Homme Dieu, Alexandria, Douglas County, Minnesota, United States",False
ESD-2006-07-14-1.md,ESD-2006-07-14-1,2006-07-14,2006,MI,Black River,Port Huron,St. Clair,"River Street Marina, near 10th Street Bridge",fatal,1,2,0,VERIFIED,False,True,True,46.5119078,-90.0538641,"Black River, MI",body+state,"Black River, Gogebic County, Michigan, United States",False
ESD-2006-07-24-1.md,ESD-2006-07-24-1,2006-07-24,2006,MO,Lake of the Ozarks,Lake of the Ozarks,,"Private dock, 81 Mile Marker",fatal,1,0,0,CONFIRMED,True,False,True,38.1443725,-92.6594744,"Lake of the Ozarks, MO",body+state,"Lake of the Ozarks, Osage Beach, Camden County, Missouri, United States",True
ESD-2006-07-24-2.md,ESD-2006-07-24-2,2006-07-24,2006,GA,Lake Lanier,Cumming,Forsyth,"Family lake home, private dock",fatal,1,3,0,VERIFIED,True,False,True,34.2930593,-83.938223,"Lake Lanier, GA",body+state,"Lake Lanier, Cumming, Forsyth County, Georgia, United States",False
ESD-2006-08-00-1.md,ESD-2006-08-00-1,2006-08,2006,WI,Lake Michigan,Racine,Racine,,near-miss,0,0,1,UNVERIFIED,False,True,True,44.099995,-87.6334166,"Lake Michigan, WI",body+state,"Lake Michigan, Manitowoc, Manitowoc County, Wisconsin, United States",True
ESD-2007-07-01-1.md,ESD-2007-07-01-1,2007-07-01,2007,True,Lake Ontario,Kingston,,Collins Bay Marina,near-miss,0,0,1,UNVERIFIED,False,True,True,,,,none,(no location),False
ESD-2007-07-20-1.md,ESD-2007-07-20-1,2007-07-20,2007,OK,Lake Arcadia,Edmond,Oklahoma,,near-miss,0,1,1,UNVERIFIED,False,False,True,35.6271991,-97.3941706,"Lake Arcadia, OK",body+state,"Lake Arcadia, Edmond, Oklahoma County, Oklahoma, United States",False
ESD-2007-07-28-1.md,ESD-2007-07-28-1,2007-07-28,2007,MO,Lake of the Ozarks,Lake of the Ozarks,,Private dock,fatal,1,0,0,SUSPECTED,True,False,True,38.1443725,-92.6594744,"Lake of the Ozarks, MO",body+state,"Lake of the Ozarks, Osage Beach, Camden County, Missouri, United States",True
ESD-2007-08-28-1.md,ESD-2007-08-28-1,2007-08-28,2007,NY,Private farm pond,Eden,Erie,,near-miss,0,1,0,CONFIRMED,False,False,True,42.6523734,-78.8954064,"Eden, NY",city+state,"Town of Eden, Erie County, New York, 14057, United States",False
ESD-2007-09-00-1.md,ESD-2007-09-00-1,2007-09,2007,FL,Caloosahatchee River,,Lee,Franklin Lock Campground,near-miss,0,0,1,UNVERIFIED,False,True,True,26.7214836,-81.692193,"Caloosahatchee River, FL",body+state,"Caloosahatchee River, Lee County, Florida, United States",False
ESD-2008-06-13-1.md,ESD-2008-06-13-1,2008-06-13,2008,NC,Atlantic Ocean / Intracoastal Waterway,Ocean Isle Beach,Brunswick,"Ocean Isle Beach Marina, 2000 Sommerset Rd SW",fatal,1,0,0,CONFIRMED,False,False,False,33.8943393,-78.426672,"Ocean Isle Beach, NC",city+state,"Ocean Isle Beach, Brunswick County, North Carolina, United States",False
ESD-2008-08-23-1.md,ESD-2008-08-23-1,2008-08-23,2008,AR,Lake Hamilton,Hot Springs,Garland,Lake Hamilton Resort,fatal,1,2,0,CONFIRMED,False,True,True,34.425335,-93.088864,"Lake Hamilton, AR",body+state,"Lake Hamilton, Hot Springs, Garland County, Arkansas, United States",True
ESD-2010-05-24-1.md,ESD-2010-05-24-1,2010-05-24,2010,IA,Clear Lake,Clear Lake,Cerro Gordo,Neighbor's dock at 3830 N. Shore Drive,near-miss,0,1,0,CONFIRMED,True,False,True,43.1370751,-93.3813637,"Clear Lake, IA",body+state,"Clear Lake, Clear Lake Township, Cerro Gordo County, Iowa, 50428, United States",False
ESD-2010-05-29-1.md,ESD-2010-05-29-1,2010-05-29,2010,WV,Stonewall Jackson Lake,Weston,Lewis,Stonewall Jackson Lake Marina,fatal,1,1,0,VERIFIED,False,True,True,38.9555775,-80.4989078,"Stonewall Jackson Lake, WV",body+state,"Stonewall Jackson Lake, Lewis County, West Virginia, United States",False
ESD-2010-05-29-2.md,ESD-2010-05-29-2,2010-05-29,2010,NC,Lake Waccamaw,Lake Waccamaw,Columbus,"Private covered dock with boat lift, approximately 200 feet from shore",fatal,1,0,1,CONFIRMED,True,False,True,34.3221707,-78.5220264,"Lake Waccamaw, NC",body+state,"Lake Waccamaw, Columbus County, North Carolina, United States",True
ESD-2010-06-00-1.md,ESD-2010-06-00-1,2010-06,2010,AL,Lewis Smith Lake,,,Private dock,fatal,1,0,0,UNVERIFIED,True,False,True,34.0700321,-86.9791442,"Lewis Smith Lake, AL",body+state,"Lewis Smith Lake, Double Springs, Cullman County, Alabama, United States",False
ESD-2010-06-21-1.md,ESD-2010-06-21-1,2010-06-21,2010,SC,,York,York,Residential swimming pool,fatal,1,1,0,UNVERIFIED,False,False,True,34.9603293,-81.1655408,"York, SC",city+state,"York County, South Carolina, United States",False
ESD-2010-06-24-1.md,ESD-2010-06-24-1,2010-06-24,2010,TX,Lake Travis,,Travis,,near-miss,0,1,1,UNVERIFIED,False,False,True,30.4645913,-98.0783472,"Lake Travis, TX",body+state,"Lake Travis, Briarcliff, Travis County, Texas, 78663, United States",True
ESD-2010-07-03-1.md,ESD-2010-07-03-1,2010-07-03,2010,TN,Fort Loudoun Lake,Friendsville,Blount,International Harbor,near-miss,0,1,3,UNVERIFIED,False,True,True,35.7919204,-84.2431703,"Fort Loudoun Lake, TN",body+state,"Fort Loudoun Lake, Loudon County, East Tennessee, Tennessee, 37772, United States",False
ESD-2010-07-10-1.md,ESD-2010-07-10-1,2010-07-10,2010,KY,Green River Lake,Campbellsville,Taylor,,near-miss,0,2,1,CONFIRMED,False,False,True,37.2508354,-85.3005975,"Green River Lake, KY",body+state,"Green River Lake, Taylor County, Kentucky, United States",True
ESD-2010-07-25-1.md,ESD-2010-07-25-1,2010-07-25,2010,IN,Lake Freeman,Monticello,Carroll,Angel Shores Resort (private dock),fatal,1,0,0,VERIFIED,True,False,True,39.8491355,-86.267953,"Lake Freeman, IN",body+state,"Lake Freeman Drive, Indianapolis, Marion County, Indiana, 46254, United States",False
ESD-2010-07-31-1.md,ESD-2010-07-31-1,2010-07-31,2010,VT,Lake Champlain,,,,near-miss,0,0,3,CONFIRMED,False,False,True,44.3214254,-73.319416,"Lake Champlain, VT",body+state,"Lake Champlain, Chittenden County, Vermont, United States",False
ESD-2010-09-01-1.md,ESD-2010-09-01-1,2010-09-01,2010,FL,Small lake at Perrine Wayside Dog Park,Palmetto Bay,Miami-Dade,"Perrine Wayside Dog Park (Village Dog Park), 16425 S. Dixie Highway",near-miss,0,0,1,CONFIRMED,False,False,True,25.6217715,-80.3247748,"Palmetto Bay, FL",city+state,"Palmetto Bay, Miami-Dade County, Florida, United States",False
ESD-2010-09-05-1.md,ESD-2010-09-05-1,2010-09-05,2010,SC,Hartwell Lake,Anderson,Anderson,,near-miss,0,1,0,UNVERIFIED,False,False,True,34.5491573,-83.1134681,"Hartwell Lake, SC",body+state,"Lake Hartwell, Anderson, Stephens County, Georgia, 30643, United States",False
ESD-2011-03-18-1.md,ESD-2011-03-18-1,2011-03-18,2011,TX,Retention pond,Houston,Harris,,near-miss,0,0,1,UNVERIFIED,False,False,True,30.1068613,-95.4405823,"Retention pond, TX",body+state,"Retention Pond, Springwood, ExxonMobil Campus, Harris County, Texas, United States",False
ESD-2011-05-28-1.md,ESD-2011-05-28-1,2011-05-28,2011,MN,Lake Pepin,Lake City,Wabasha,"Family home, 1400 Central Point",fatal,1,1,0,VERIFIED,True,False,True,44.4942391,-92.2974883,"Lake Pepin, MN",body+state,"Lake Pepin, Town of Nelson, Pepin County, Wisconsin, United States",False
