incident_id,date,year,era,state,county,city,body_of_water,facility_name,latitude,longitude,setting,is_freshwater_marina,is_freshwater_private_dock,incident_type,fatality_count,injury_count,near_miss_count,verification_level,esdpa_listed,discovery_source,independent_source_count,electrical_source,electrical_source_detail,voltage,water_type,source_url
ESD-1988-04-21-1,1988-04-21,1988,Pre-NEC 555 (1981-2010),NY,Albany,Albany,Indian Lake (campus pond),State University of New York at Albany (SUNY Albany),43.782497,-74.272041,"Other (pool, fountain, public, unknown)",False,False,fatal,1,2,0,VERIFIED,True,ESDPA,5,other,Broken/faulty underground electrical cable near pump house approximately 20 feet from shore,,fresh,https://www.upi.com/Archives/1988/04/22/Student-electrocuted-in-pond-hazing-stunt/7322577684800
ESD-1988-04-23-1,1988-04-23,1988,Pre-NEC 555 (1981-2010),OK,,,,,35.565342,-96.928917,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,other,Fault in submersible pump,,fresh,
ESD-1989-06-01-1,1989-06-01,1989,Pre-NEC 555 (1981-2010),OK,,,Lake B (southern Oklahoma — lake name anonymized by CDC),,36.1400892,-96.0819455,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,CONFIRMED,False,LOA4,1,dock_wiring,Broken-lamp wiring connected to 110-volt dock power line,110V AC,fresh,https://www.cdc.gov/mmwr/preview/mmwrhtml/00042081.htm
ESD-1989-12-08-1,1989-12-08,1989,Pre-NEC 555 (1981-2010),OK,,,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,36.1400892,-96.0819455,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,CONFIRMED,True,ESDPA,1,other,Victim was rewiring a submerged water pump and stringing electrical wire from pump to relay station,,fresh,https://www.cdc.gov/mmwr/preview/mmwrhtml/00042081.htm
ESD-1991-07-00-1,1991-07,1991,Pre-NEC 555 (1981-2010),AR,Garland,Hot Springs,Lake Hamilton,,34.425335,-93.088864,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,CONFIRMED,True,ESDPA,1,dock_wiring,Broken dock wire insulation,,fresh,https://katv.com/news/local/attorney-calls-for-stricter-boat-dock-and-marina-regulations-in-arkansas
ESD-1991-07-24-1,1991-07-24,1991,Pre-NEC 555 (1981-2010),OK,,,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,36.1400892,-96.0819455,"Other (pool, fountain, public, unknown)",False,False,fatal,1,1,0,CONFIRMED,True,ESDPA,1,dock_wiring,Electrical short detected in dock wiring,,fresh,https://www.cdc.gov/mmwr/preview/mmwrhtml/00042081.htm
ESD-1993-07-00-1,1993-07,1993,Pre-NEC 555 (1981-2010),NY,Jefferson,Alexandria Bay,St. Lawrence River (Thousand Islands),,44.9968419,-74.7216551,"Other (pool, fountain, public, unknown)",False,False,fatal,2,2,0,UNVERIFIED,True,ESDPA,0,dock_wiring,Dock wiring gnawed by rodents,,fresh,
ESD-1993-07-27-1,1993-07-27,1993,Pre-NEC 555 (1981-2010),OK,,,Lake A (northeastern Oklahoma — lake name anonymized by CDC; likely Grand Lake O' the Cherokees),,36.1400892,-96.0819455,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,CONFIRMED,False,LOA4,1,dock_wiring,Electrical short in dock wiring transmitting current into water while dock lights illuminated,,fresh,https://www.cdc.gov/mmwr/preview/mmwrhtml/00042081.htm
ESD-1993-09-00-1,1993-09,1993,Pre-NEC 555 (1981-2010),TX,,,,,31.054487,-97.563461,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,boat_lift,Fault in boatlift,,salt,
ESD-1993-09-05-1,1993-09-05,1993,Pre-NEC 555 (1981-2010),OK,,,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,36.1400892,-96.0819455,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,CONFIRMED,True,ESDPA,1,other,Submersible (submergible) water pump with exposed energized wiring,,fresh,https://www.cdc.gov/mmwr/preview/mmwrhtml/00042081.htm
ESD-1994-00-00-1,1994,1994,Pre-NEC 555 (1981-2010),DC,,Washington,Potomac River,Bolling Air Force Base (now Joint Base Anacostia-Bolling),39.0739106,-77.427643,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,other,Bare energized wires touching metal case inside electrical junction box; ground wire intentionally or negligently cut,,fresh,
ESD-1994-00-00-2,1994,1994,Pre-NEC 555 (1981-2010),TX,,,,,31.054487,-97.563461,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,SUSPECTED,False,LOA1,1,boat_lift,Boatlift electrical fault,,salt,https://www.2coolfishing.com/threads/interesting-article-on-dock-shock.33461/
ESD-1995-02-00-1,1995-02,1995,Pre-NEC 555 (1981-2010),NV,Clark,,Lake Mead,,36.2130617,-114.4132805,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,shore_power,Fault on houseboat,,fresh,
ESD-1995-08-00-1,1995-08,1995,Pre-NEC 555 (1981-2010),KY,Russell,Jamestown,Lake Cumberland,Jamestown Resort and Marina,36.9385265,-85.0196128,Freshwater marina,True,False,near-miss,0,0,7,UNVERIFIED,True,ESDPA,0,shore_power,Loss of neutral caused stray current near houseboat,,fresh,
ESD-1997-07-00-1,1997-07,1997,Pre-NEC 555 (1981-2010),DC,,Washington,Anacostia River / Potomac River,"Air Force Base, Washington DC (likely Bolling AFB / Joint Base Anacostia-Bolling)",38.8377469,-77.0170934,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,dock_wiring,Boy walking on ice slipped and grabbed exposed wires on a dock,,fresh,
ESD-1997-07-00-2,1997-07,1997,Pre-NEC 555 (1981-2010),NV,Clark,,Lake Mead,,36.2130617,-114.4132805,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,SUSPECTED,False,LOA1,1,shore_power,Houseboat electrical fault,,fresh,https://www.2coolfishing.com/threads/interesting-article-on-dock-shock.33461/
ESD-1998-07-03-1,1998-07-03,1998,Pre-NEC 555 (1981-2010),WA,Chelan,Chelan,Lake Chelan,,48.0785862,-120.4757138,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,1,2,UNVERIFIED,True,ESDPA,1,dock_wiring,Swim ladder energized,,fresh,https://www.2coolfishing.com/threads/interesting-article-on-dock-shock.33461/
ESD-1998-09-00-1,1998-09,1998,Pre-NEC 555 (1981-2010),CA,Sonoma,Healdsburg,Lake Sonoma,Lake Sonoma Marina (operated by concessionaire for US Army Corps of Engineers),38.7379866,-123.0627632,Freshwater marina,True,False,fatal,1,0,0,VERIFIED,True,ESDPA,6,dock_wiring,Faulty/frayed wire in electrical conduit on floating dock; conduit served gasoline pumps along docks,,fresh,https://www.tahoedailytribune.com/news/death-of-10-year-old-convinces-d-a-legislator-to-push-for-new-law/
ESD-1998-09-00-2,1998-09,1998,Pre-NEC 555 (1981-2010),CA,Solano,Rio Vista,Sacramento River / Sacramento-San Joaquin River Delta,,38.1557502,-121.6913439,Freshwater marina,True,False,fatal,2,0,0,UNVERIFIED,True,ESDPA,0,dock_wiring,Forty-year-old faulty wiring running under moored boats; insulation failure leading to ground faults,,fresh,
ESD-1999-07-00-1,1999-07,1999,Pre-NEC 555 (1981-2010),SC,,,,,33.856892,-80.945007,"Other (pool, fountain, public, unknown)",False,False,fatal,1,1,0,UNVERIFIED,True,ESDPA,0,unknown,,,fresh,
ESD-1999-07-00-2,1999-07,1999,Pre-NEC 555 (1981-2010),AZ,Mohave,,Lake Mohave,,35.6055696,-114.6561661,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,SUSPECTED,False,LOA1,2,shore_power,Homemade shore cord Y adapter became partly disconnected; boat had improper neutral-ground bond; hull energized,17 VAC (measured behind stern-drive),fresh,https://www.2coolfishing.com/threads/interesting-article-on-dock-shock.33461/
ESD-1999-07-18-1,1999-07-18,1999,Pre-NEC 555 (1981-2010),AZ,Mohave,,Lake Mohave,,35.6055696,-114.6561661,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,shore_power,Homemade shore cord Y-connector that had disconnected,,fresh,
ESD-1999-07-18-2,1999-07-18,1999,Pre-NEC 555 (1981-2010),TN,DeKalb,Smithville,Center Hill Lake,Sligo Marina (B pier),35.9921594,-85.7164195,Freshwater marina,True,False,fatal,1,1,0,UNVERIFIED,True,ESDPA,0,shore_power,Houseboat electrical fault,,fresh,
ESD-1999-08-01-1,1999-08-01,1999,Pre-NEC 555 (1981-2010),OR,Columbia,Scappoose,Multnomah Channel (Willamette River),,45.7467075,-122.8360411,"Other (pool, fountain, public, unknown)",False,False,fatal,1,1,0,VERIFIED,True,ESDPA,5,shore_power,"Melted wire on docked boat allowed 120V AC shore power to energize boat's DC ground system (engines, propellers) due to lack of AC safety ground bonding",120V AC (84 VAC measured behind stern per ESDPA),fresh,https://icl.coop/water-recreation-electric-shock-drowning-lucas-story/
ESD-2000-00-00-1,2000,2000,Pre-NEC 555 (1981-2010),TN,,Lafollette,Norris Lake,Whitman Hollow Marina,36.3571627,-83.6848061,Freshwater marina,True,False,fatal,1,1,0,UNVERIFIED,True,ESDPA,0,shore_power,"Damaged power cable to houseboat; black lead energized hull, ground wire burned in two; circuit breaker did not trip due to incorrect connection",,fresh,
ESD-2000-09-00-1,2000-09,2000,Pre-NEC 555 (1981-2010),NY,Erie,Grand Island,Niagara River,,43.0569709,-79.00034,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,dock_wiring,"Romex wiring chafed against steel piling, energizing it",,fresh,
ESD-2000-09-30-1,2000-09-30,2000,Pre-NEC 555 (1981-2010),TN,Franklin,Winchester,Tims Ford Lake,,35.221094,-86.2721255,Private freshwater dock,False,True,fatal,2,0,1,CONFIRMED,True,ESDPA,4,dock_wiring,Live wire in water near dock; improperly installed electrical work on newly constructed dock,,fresh,https://www.mikeholt.com/newsletters.php?action=display&letterID=1442
ESD-2000-09-30-2,2000-09-30,2000,Pre-NEC 555 (1981-2010),OH,Ottawa,Put-in-Bay,Lake Erie,Possibly Crew's Nest (per local source),42.1432251,-81.2394356,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,shore_power,Fault associated with Grand Banks 42 powerboat,,fresh,
ESD-2001-04-10-1,2001-04-10,2001,Pre-NEC 555 (1981-2010),LA,,New Orleans,,,29.9561422,-90.0733934,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,other,Ungrounded conveyor used to transfer shrimp,,salt,
ESD-2001-06-06-1,2001-06-06,2001,Pre-NEC 555 (1981-2010),AR,Garland,Hot Springs,Lake Hamilton,Farr Shores,34.425335,-93.088864,"Other (pool, fountain, public, unknown)",False,False,fatal,1,1,0,UNVERIFIED,True,ESDPA,0,shore_power,"Reverse polarity, neutral-ground fault in a light fixture on the boat, and poor bonding to the service",,fresh,
ESD-2001-06-22-1,2001-06-22,2001,Pre-NEC 555 (1981-2010),VA,Prince William,Dumfries,Lake Montclair,"Private dock, Timber Ridge Drive, Montclair community",38.6132128,-77.3510548,Private freshwater dock,False,True,fatal,2,1,0,VERIFIED,True,ESDPA,3,charger,"Battery charger on pontoon boat plugged into wrong outlet via spliced orange utility cord, sending 117V directly into aluminum hull",117V AC,fresh,https://www.washingtonpost.com/archive/local/2001/06/23/electrical-accident-kills-two-prince-william-boys/614873ff-46d9-4dd4-9967-3389773c63b2/
ESD-2001-09-15-1,2001-09-15,2001,Pre-NEC 555 (1981-2010),MS,Harrison,Biloxi,Biloxi Bay,"Bay Marine Boat Works (151 5th St, Biloxi, MS 39530)",30.3838101,-88.8289167,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,dock_wiring,Reverse polarity from recent electrical work,,salt,
ESD-2002-00-00-1,2002,2002,Pre-NEC 555 (1981-2010),FL,,,,Multiple Florida marinas (aggregate report),27.766279,-81.686783,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,shore_power,AC leakage to through-hull fittings on boats; divers felt high-level tingle while cleaning boat bottoms,,salt,https://www.2coolfishing.com/threads/interesting-article-on-dock-shock.33461/
ESD-2002-05-00-1,2002-05,2002,Pre-NEC 555 (1981-2010),KY,Wayne,Monticello,Lake Cumberland,Marina houseboat dock,36.9385265,-85.0196128,Freshwater marina,True,False,fatal,2,0,0,CONFIRMED,True,ESDPA,1,shore_power,125V plug at boat end of shore cord rewired by owner for 220V; L2 connected to ground pin; ground lead cut and taped off; hull rose to line potential,125/250V (modified from 125V); estimated 0.01-0.02A in water,fresh,https://www.ecmweb.com/content/article/20891105/the-case-of-the-hot-marina
ESD-2002-05-00-2,2002-05,2002,Pre-NEC 555 (1981-2010),TX,Tarrant,Arlington,Apartment complex swimming pool,"Apartment complex pool, Arlington TX",32.7355816,-97.1071186,"Other (pool, fountain, public, unknown)",False,False,fatal,1,1,0,CONFIRMED,False,LOA4,1,pool_pump,Faulty wiring in underwater pool lighting fixtures,,pool,https://www.cpsc.gov/Newsroom/News-Releases/2003/Dont-Swim-With-Shocks-CPSC-American-Red-Cross-Warn-of-Electrocutions-in-Swimming-Pools-Hot-Tubs-and-Spas
ESD-2002-07-00-1,2002-07,2002,Pre-NEC 555 (1981-2010),GA,,,Allatoona Lake,,34.1327957,-84.6295701,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,1,2,UNVERIFIED,True,ESDPA,0,shore_power,Houseboat shore power cord energizing water,,fresh,
ESD-2002-10-00-1,2002-10,2002,Pre-NEC 555 (1981-2010),SC,,,Lake Murray,,34.0850435,-81.2743362,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,dock_wiring,High-level fault currents found in dock frame,,fresh,
ESD-2003-05-00-1,2003-05,2003,Pre-NEC 555 (1981-2010),GA,,,Allatoona Lake,Private houseboat dock,34.1327957,-84.6295701,Private freshwater dock,False,True,non-fatal,0,0,0,UNVERIFIED,True,ESDPA,0,shore_power,"Shore power cord separated in the middle as houseboat pulled away; 125V plug rewired by owner for 220V with L2 connected to ground pin, ground lead cut and taped off; hull rose to line potential",125/250V,fresh,
ESD-2003-05-08-1,2003-05-08,2003,Pre-NEC 555 (1981-2010),FL,Lee,North Fort Myers,Canal (Caloosahatchee River estuary area),Private dock with boat lift,28.8849077,-81.271505,"Other (pool, fountain, public, unknown)",False,False,fatal,2,0,0,VERIFIED,True,ESDPA,3,boat_lift,"Rebar had penetrated through a power cable to the boat lift, energizing the lift frame",,salt,https://www.orlandosentinel.com/2003/05/10/2-teens-electrocuted-in-canal-2/
ESD-2003-08-00-1,2003-08,2003,Pre-NEC 555 (1981-2010),KY,Taylor,Campbellsville,Green River Lake,,37.2508354,-85.3005975,Freshwater marina,True,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,shore_power,Houseboat with 4 amps of leakage and 8 VAC hull potential; faulty inverter neutral/ground fault,8 VAC hull potential; 4 amps leakage,fresh,
ESD-2004-05-31-1,2004-05-31,2004,Pre-NEC 555 (1981-2010),KY,Livingston,Grand Rivers,Lake Barkley,,36.8006785,-87.979596,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,0,3,UNVERIFIED,True,ESDPA,0,shore_power,Incorrect wiring on rented houseboat caused ground fault via shore power,,fresh,
ESD-2004-06-05-1,2004-06-05,2004,Pre-NEC 555 (1981-2010),NC,,Charlotte,Lake Wylie,Houseboat dock,35.110422,-81.0538064,"Other (pool, fountain, public, unknown)",False,False,fatal,1,1,0,UNVERIFIED,True,ESDPA,0,dock_wiring,"Substantial wiring errors on dock and boat, apparently done by non-qualified individuals",,fresh,
ESD-2004-06-19-1,2004-06-19,2004,Pre-NEC 555 (1981-2010),TX,Travis,Austin,Lake Travis,Marina dock,30.4645913,-98.0783472,Freshwater marina,True,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,dock_wiring,,,fresh,
ESD-2004-06-19-2,2004-06-19,2004,Pre-NEC 555 (1981-2010),NC,Columbus,Lake Waccamaw,Lake Waccamaw,Private dock with motorized boat lift,34.3221707,-78.5220264,Private freshwater dock,False,True,fatal,1,0,0,CONFIRMED,True,ESDPA,1,boat_lift,Either motor had internal short to casing or water-filled junction box created conductive path between hot and ground wires,120V,fresh,https://www.ecmweb.com/design/case-floating-dock
ESD-2004-07-00-1,2004-07,2004,Pre-NEC 555 (1981-2010),AZ,Maricopa,,Saguaro Lake,Saguaro Lake Marina,33.5671984,-111.5235893,Freshwater marina,True,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,shore_power,Shore cable from pontoon houseboat energizing water near dock,,fresh,
ESD-2004-07-00-2,2004-07,2004,Pre-NEC 555 (1981-2010),CA,,,Sacramento River,,40.6214141,-122.4461499,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,1,2,UNVERIFIED,True,ESDPA,0,other,Mis-wiring on one boat on generator power caused ground fault,,fresh,
ESD-2004-08-08-1,2004-08-08,2004,Pre-NEC 555 (1981-2010),TX,Travis,Austin,Lake Travis,Marina dock (between two sections),30.4645913,-98.0783472,Freshwater marina,True,False,fatal,1,0,0,SUSPECTED,True,LOA2,0,dock_wiring,Shore power present at marina dock; victim was swimming between two sections of the dock in the evening,,fresh,https://www.mikeholt.com/files/PDF/Electric_Shock_Drowning_Incident_List_5-6-20.pdf
ESD-2004-09-12-1,2004-09-12,2004,Pre-NEC 555 (1981-2010),MS,Madison,Ridgeland,Ross Barnett Reservoir,Main Harbor Marina,31.8332161,-89.5895143,Freshwater marina,True,False,fatal,1,0,1,VERIFIED,True,ESDPA,4,shore_power,Homemade shore power cord shorted to houseboat metal siding; boat ladder was electrified and leaking voltage,,fresh,https://www.huffpost.com/entry/esd-hidden-danger-in-fres_b_693454
ESD-2004-09-13-1,2004-09-13,2004,Pre-NEC 555 (1981-2010),MO,Camden,Lake of the Ozarks,Lake of the Ozarks,Private dock,38.1443725,-92.6594744,Private freshwater dock,False,True,fatal,1,0,0,CONFIRMED,True,ESDPA,3,dock_wiring,Dock cable shocked victim causing him to fall into the water,,fresh,https://www.columbiamissourian.com/news/local/family-files-suit-in-electrocution-at-lake-of-the-ozarks/article_91dbb502-aa2a-5122-9db2-ea3547b557e2.html
ESD-2005-06-24-1,2005-06-24,2005,Pre-NEC 555 (1981-2010),NY,,,Lake Ontario,,43.3639683,-78.2326163,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,1,0,UNVERIFIED,True,ESDPA,0,dock_wiring,Missing ground wire in dock wiring,,fresh,
ESD-2005-06-28-1,2005-06-28,2005,Pre-NEC 555 (1981-2010),KY,Rowan,Morehead,Cave Run Lake,Scotts Creek Marina,38.0364236,-83.4742679,Freshwater marina,True,False,fatal,1,1,0,VERIFIED,True,ESDPA,4,charger,Faulty battery charger on houseboat caused AC current leakage energizing the hull,,fresh,https://www.kentucky.com/news/politics-government/article44497146.html
ESD-2005-07-00-1,2005-07,2005,Pre-NEC 555 (1981-2010),NY,Kings,Brooklyn,,"Private marina, Brooklyn",40.6526006,-73.9497211,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,other,Recently installed water heater with neutral-ground short,40 VAC measured,salt,
ESD-2006-03-18-1,2006-03-18,2006,Pre-NEC 555 (1981-2010),MO,Jefferson,DeSoto,Spring Lake (Summerset Lake subdivision),Private dock with electric boat lift and lighting,38.0970704,-90.5760172,Private freshwater dock,False,True,fatal,1,2,1,VERIFIED,True,ESDPA,8,dock_wiring,"Defective/missing neutral on nearby AmerenUE underground 7,200V power distribution cable; neutral current returned via earth to substation; concentrated at bonded swim ladder","7,200V distribution; 4-6 VAC measured 2ft from ladder; 10A in dock supply cable",fresh,https://www.stlpr.org/other/2006-03-19/de-soto-teen-electrocuted-in-lake-two-others-hurt
ESD-2006-05-21-1,2006-05-21,2006,Pre-NEC 555 (1981-2010),AL,Cherokee,Centre,Weiss Lake,Private dock/pier,34.2020407,-85.6620895,Private freshwater dock,False,True,fatal,1,2,0,VERIFIED,True,ESDPA,3,dock_wiring,Unidentified electrical source at pier; ESDPA mentions electric windmill on dock but not confirmed by independent sources,,fresh,https://www.northwestgeorgianews.com/man-dies-after-electrocution-in-ala-lak-local-new/article_ec316668-a908-5326-9f47-e4febddf9799.html
ESD-2006-05-22-1,2006-05-22,2006,Pre-NEC 555 (1981-2010),WI,Racine,Racine,Lake Michigan,Racine Harbor,44.099995,-87.6334166,Freshwater marina,True,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,shore_power,Reverse polarity detected; wife noted reverse polarity light flickered on and went out when power was applied to vessel,,fresh,
ESD-2006-06-25-1,2006-06-25,2006,Pre-NEC 555 (1981-2010),AR,Garland,Royal,Lake Ouachita,Brady Mountain Resort,34.6157417,-93.412892,Freshwater marina,True,False,fatal,1,1,1,VERIFIED,True,ESDPA,3,extension_cord,Ungrounded electrical cord operated by boat owner; electricity reached ladder leading into water,,fresh,https://www.kait8.com/story/5075774/teen-dies-after-being-exposed-to-electricity-current/
ESD-2006-07-02-1,2006-07-02,2006,Pre-NEC 555 (1981-2010),MN,Douglas,,Lake L'Homme Dieu,,45.9282176,-95.3529204,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,1,2,UNVERIFIED,True,ESDPA,0,extension_cord,Extension cord powering a boat lift caught by boat propeller,,fresh,
ESD-2006-07-14-1,2006-07-14,2006,Pre-NEC 555 (1981-2010),MI,St. Clair,Port Huron,Black River,"River Street Marina, near 10th Street Bridge",46.5119078,-90.0538641,Freshwater marina,True,False,fatal,1,2,0,VERIFIED,True,ESDPA,4,shore_power,Faulty shore power cord energized boat and surrounding water; main power switch was off but electricity continued flowing through defective cord; circuit breaker failed to trip,,fresh,https://www.newspapers.com/article/the-times-herald-7-14-2006-electric-shoc/48562388/
ESD-2006-07-24-1,2006-07-24,2006,Pre-NEC 555 (1981-2010),MO,,Lake of the Ozarks,Lake of the Ozarks,"Private dock, 81 Mile Marker",38.1443725,-92.6594744,Private freshwater dock,False,True,fatal,1,0,0,CONFIRMED,True,ESDPA,1,dock_wiring,Metal swim ladder on private dock was energized,,fresh,https://www.lakeexpo.com/news/top_stories/young-woman-dies-at-lake-of-the-ozarks/article_57661764-1fb0-5839-abbb-7d20dc7c2d16.html
ESD-2006-07-24-2,2006-07-24,2006,Pre-NEC 555 (1981-2010),GA,Forsyth,Cumming,Lake Lanier,"Family lake home, private dock",34.2930593,-83.938223,Private freshwater dock,False,True,fatal,1,3,0,VERIFIED,True,ESDPA,4,dock_wiring,Exposed wire grabbed while standing in water working on a personal watercraft beside a metal dock,,fresh,https://www.wistv.com/story/5197330/teenager-electrocuted-at-lake-lanier/
ESD-2006-08-00-1,2006-08,2006,Pre-NEC 555 (1981-2010),WI,Racine,Racine,Lake Michigan,,44.099995,-87.6334166,Freshwater marina,True,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,other,Faulty water heater neutral wire on boat in adjacent slip,,fresh,
ESD-2007-07-01-1,2007-07-01,2007,Pre-NEC 555 (1981-2010),True,,Kingston,Lake Ontario,Collins Bay Marina,,,Freshwater marina,True,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,charger,Battery charger on moored sailboat had short circuit,,fresh,
ESD-2007-07-20-1,2007-07-20,2007,Pre-NEC 555 (1981-2010),OK,Oklahoma,Edmond,Lake Arcadia,,35.6271991,-97.3941706,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,1,1,UNVERIFIED,True,ESDPA,0,dock_wiring,High water submerged electrical outlets at end of dock,,fresh,
ESD-2007-07-28-1,2007-07-28,2007,Pre-NEC 555 (1981-2010),MO,,Lake of the Ozarks,Lake of the Ozarks,Private dock,38.1443725,-92.6594744,Private freshwater dock,False,True,fatal,1,0,0,SUSPECTED,True,LOA2,0,dock_wiring,Dock power wiring termination found submerged under the dock near the exit point,,fresh,http://www.electricshockdrowning.org/uploads/4/8/5/6/48564375/esd_incident_list_-_updated_5.9.16.pdf
