file,incident_id,date,year,state,body_of_water,facility_name,victims_named,fatality_count,incident_type,verification_level,esdpa_listed,esdpa_entry_numbers,independent_source_count,sources_total,primary_source_count,discovery_source,notes,weakness_reasons,sources_preview,tier,suggested_action,effort
ESD-1989-06-01-1.md,ESD-1989-06-01-1,1989-06-01,1989,OK,Lake B (southern Oklahoma — lake name anonymized by CDC),None,,1,fatal,CONFIRMED,False,,1,1,1,LOA4,"A 36-year-old male was electrocuted at a lake in southern Oklahoma on June 1, 1989. He was working on a houseboat docked at the lake when his elbow contacted broken-lamp wiring connected to a 110-volt dock power line during a fuel pump installation. CDC MMWR Case 2 (Lake B, southern Oklahoma). Part ",NOVEL_LOW_INDEP | FATAL_ANONYMOUS,government:CDC MMWR (Morbidity and Mortality Weekly Report),A: Novel + thin,"Find second independent source, or mark SUSPECTED",medium
ESD-1989-12-08-1.md,ESD-1989-12-08-1,1989-12-08,1989,OK,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),None,,1,fatal,CONFIRMED,True,#109 (Rev. 8/15/2025),1,1,1,ESDPA,"A 32-year-old male was rewiring a submerged water pump at 'Lake A' (two adjoining lakes in northeastern Oklahoma, likely Grand Lake O' the Cherokees) and stringing electrical wire to a relay station. Co-workers found blood on rocks along the shoreline. A lake patrol diver found the victim under 25 f",FATAL_ANONYMOUS,government:CDC MMWR (Morbidity and Mortality Weekly Report),D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-1991-07-00-1.md,ESD-1991-07-00-1,1991-07,1991,AR,Lake Hamilton,None,,1,fatal,CONFIRMED,True,#108 (Rev. 8/15/2025),1,1,1,ESDPA,"One of four boys in a canoe continued into an electric field near a dock and drowned at Lake Hamilton, Hot Springs, Arkansas. The cause was broken dock wire insulation. Lake Hamilton has been the site of at least three ESD fatalities (1991, 2001, 2008). The pattern of deaths contributed to the passa",FATAL_ANONYMOUS,news:KATV (Arkansas),D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-1991-07-24-1.md,ESD-1991-07-24-1,1991-07-24,1991,OK,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),None,,1,fatal,CONFIRMED,True,#107 (Rev. 8/15/2025),1,1,1,ESDPA,"A 50-year-old man was found lying unconscious on a boat dock at a northeastern Oklahoma lake, wearing wet socks and shoes. His son received an electrical shock while attempting to revive him. An electrical short was detected in the dock wiring. The medical examiner ruled the cause of death as electr",FATAL_ANONYMOUS,government:CDC MMWR (Morbidity and Mortality Weekly Report),D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-1993-07-00-1.md,ESD-1993-07-00-1,1993-07,1993,NY,St. Lawrence River (Thousand Islands),None,,2,fatal,UNVERIFIED,True,#106 (Rev. 8/15/2025),0,0,0,ESDPA,"Two teenage girls snorkeling near a dock at Alexandria Bay, New York (Thousand Islands region, St. Lawrence River) were paralyzed by electric shock and drowned. The dock wiring had been gnawed by rodents, creating the electrical fault. Secondary sources indicate two bystanders who entered the water ",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1993-07-27-1.md,ESD-1993-07-27-1,1993-07-27,1993,OK,Lake A (northeastern Oklahoma — lake name anonymized by CDC; likely Grand Lake O' the Cherokees),None,,1,fatal,CONFIRMED,False,,1,1,1,LOA4,"A 13-year-old boy jumped from a dock into a northeastern Oklahoma lake while dock lights were illuminated. He immediately surfaced screaming, then submerged and drowned. An electrical short in the dock wiring was transmitting current into the water. This is a textbook ESD mechanism: AC current paral",NOVEL_LOW_INDEP | FATAL_ANONYMOUS,government:CDC MMWR (Morbidity and Mortality Weekly Report),A: Novel + thin,"Find second independent source, or mark SUSPECTED",medium
ESD-1993-09-00-1.md,ESD-1993-09-00-1,1993-09,1993,TX,None,None,,1,fatal,UNVERIFIED,True,#104 (Rev. 8/15/2025),0,0,0,ESDPA,"Single drowning fatality in Texas from a fault in a boatlift, salt water environment. No victim name, age, gender, or specific location identified. ESD in salt water is scientifically unusual because salt water's high conductivity typically diverts current around rather than through a swimmer. The c",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1993-09-05-1.md,ESD-1993-09-05-1,1993-09-05,1993,OK,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),None,,1,fatal,CONFIRMED,True,#105 (Rev. 8/15/2025),1,1,1,ESDPA,"A 46-year-old male scuba diver was electrocuted after contacting a submersible water pump at 'Lake A' in northeastern Oklahoma. A witness reported seeing 'a blue softball-size ball of flame emitting from a pipe' containing power cables near the pump, indicating dramatic exposed and energized wiring.",FATAL_ANONYMOUS,government:CDC MMWR (Morbidity and Mortality Weekly Report),D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-1994-00-00-1.md,ESD-1994-00-00-1,1994,1994,DC,Potomac River,Bolling Air Force Base (now Joint Base Anacostia-Bolling),,1,fatal,UNVERIFIED,True,#103 (Rev. 8/15/2025),0,0,0,ESDPA,"A young boy reached from the water and grabbed the support structure of an electrical junction box at Bolling Air Force Base, Washington, DC, and was electrocuted. Bare energized wires were found touching the metal case inside the junction box, and the ground wire had been intentionally or negligent",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1994-00-00-2.md,ESD-1994-00-00-2,1994,1994,TX,None,None,,1,fatal,SUSPECTED,False,,1,1,0,LOA1,"Single drowning attributed to faults on a boatlift in salt water in Texas, approximately 1994. One of the very few documented ESD incidents in salt water. Could be Gulf Coast or coastal bay area given salt water designation.",NOVEL_LOW_INDEP | FATAL_ANONYMOUS | NO_PRIMARY_SOURCES,other:2CoolFishing Forum / Harbor Marine Consultants compilation,A: Novel + thin,"Find second independent source, or mark SUSPECTED",medium
ESD-1995-02-00-1.md,ESD-1995-02-00-1,1995-02,1995,NV,Lake Mead,None,,1,fatal,UNVERIFIED,True,#102 (Rev. 8/15/2025),0,0,0,ESDPA,"Single drowning fatality at Lake Mead, Nevada, from a fault on a houseboat in a freshwater environment. No victim name or specific location within Lake Mead identified. The ESDPA date of February 1995 conflicts with earlier versions of the same list which record the identical incident as July 1997. ",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1995-08-00-1.md,ESD-1995-08-00-1,1995-08,1995,KY,Lake Cumberland,Jamestown Resort and Marina,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,"Seven children behind a houseboat received electric shocks at Jamestown Resort and Marina on Lake Cumberland, Kentucky. No fatalities. A loss of neutral caused the issue. All children survived.",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1997-07-00-1.md,ESD-1997-07-00-1,1997-07,1997,DC,Anacostia River / Potomac River,"Air Force Base, Washington DC (likely Bolling AFB / Joint Base Anacostia-Bolling)",,1,fatal,UNVERIFIED,True,#101 (Rev. 8/15/2025),0,0,0,ESDPA,"A boy walking on ice slipped and grabbed exposed wires on a dock at an Air Force Base in Washington, DC, and was electrocuted. The ESDPA lists the date as July 1997, but this is almost certainly wrong since ice conditions are impossible in Washington, DC in July. The actual month is likely January o",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1997-07-00-2.md,ESD-1997-07-00-2,1997-07,1997,NV,Lake Mead,None,,1,fatal,SUSPECTED,False,,1,1,0,LOA1,"Single drowning attributed to a houseboat electrical fault in fresh water at Lake Mead, Nevada, July 1997. Despite Lake Mead being one of America's busiest recreational lakes with major marina infrastructure, this is the only documented ESD incident there. Listed as item #60 in AuGres Maritime Museu",NOVEL_LOW_INDEP | FATAL_ANONYMOUS | NO_PRIMARY_SOURCES,other:2CoolFishing Forum / Harbor Marine Consultants compilation,A: Novel + thin,"Find second independent source, or mark SUSPECTED",medium
ESD-1998-07-03-1.md,ESD-1998-07-03-1,1998-07-03,1998,WA,Lake Chelan,None,,0,near-miss,UNVERIFIED,True,,1,1,0,ESDPA,"A 21-year-old was shocked on a swim ladder while exiting the water at Lake Chelan, WA. He spent 48 hours in the hospital. Rescuers were also shocked.",NO_PRIMARY_SOURCES,other:2CoolFishing Forum / Rifkin-Shafer ESD compilation,E: Other,Review if flagged,low
ESD-1998-09-00-2.md,ESD-1998-09-00-2,1998-09,1998,CA,Sacramento River / Sacramento-San Joaquin River Delta,None,,2,fatal,UNVERIFIED,True,#99 (Rev. 8/15/2025),0,0,0,ESDPA,"Two boys (ages 8-10) drowned at a marina in Rio Vista, California, on the Sacramento River Delta. Before the fatal drownings, other boys had reported feeling a tingle while in the water and got out. Forty-year-old faulty wiring running under moored boats was identified as the cause, with insulation ",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1999-07-00-1.md,ESD-1999-07-00-1,1999-07,1999,SC,None,None,,1,fatal,UNVERIFIED,True,#98 (Rev. 8/15/2025),0,0,0,ESDPA,A woman was in great distress in 3 feet of freshwater in South Carolina. Her husband attempted to rescue her and drowned. The ESDPA describes this as a 'single drowning' but the narrative suggests two people were affected. It is unclear whether the wife also died or survived. The original research f,ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1999-07-00-2.md,ESD-1999-07-00-2,1999-07,1999,AZ,Lake Mohave,None,,1,fatal,SUSPECTED,False,,2,1,0,LOA1,"A young man swimming toward the stern of a houseboat at Lake Mohave became disabled and drowned. Only 17 VAC was measured behind the stern-drive, demonstrating that extremely low voltages can be lethal in fresh water. The boat had a neutral-ground bond and a homemade shore cord Y adapter that became",FATAL_ANONYMOUS | NO_PRIMARY_SOURCES,other:2CoolFishing Forum / Harbor Marine Consultants compilation,D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-1999-07-18-1.md,ESD-1999-07-18-1,1999-07-18,1999,AZ,Lake Mohave,None,,1,fatal,UNVERIFIED,True,#96 (Rev. 8/15/2025),0,0,0,ESDPA,"A young man was disabled and drowned while swimming to the stern of a houseboat at Lake Mohave, Arizona. The cause was a homemade shore cord Y-connector that had disconnected, energizing the water. Lake Mohave is a freshwater reservoir on the Colorado River.",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1999-07-18-2.md,ESD-1999-07-18-2,1999-07-18,1999,TN,Center Hill Lake,Sligo Marina (B pier),,1,fatal,UNVERIFIED,True,#97 (Rev. 8/15/2025),0,0,0,ESDPA,"Two boys wearing flotation devices were found face down in the water a few feet behind a houseboat at Center Hill Lake (listed as 'Cedar Hill Lake' in ESDPA), Smithville, Tennessee. The 7-year-old could not be revived and died; the 8-year-old recovered. Electric shock drowning was suspected. The pre",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-2000-00-00-1.md,ESD-2000-00-00-1,2000,2000,TN,Norris Lake,Whitman Hollow Marina,,1,fatal,UNVERIFIED,True,#93 (Rev. 8/15/2025),0,0,0,ESDPA,"Two teenage boys were swimming behind a houseboat at Whitman Hollow Marina, Norris Lake, Lafollette, Tennessee. One boy climbed onto the swim platform complaining of feeling a severe shock; the other boy fell back from the ladder — his head was reportedly not below water (possible ventricular fibril",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2000-09-00-1.md,ESD-2000-09-00-1,2000-09,2000,NY,Niagara River,None,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,"An owner was paralyzed on the bottom in 5 feet of water while rescuing a dog at the Niagara River, Grand Island, NY. A slight current moved him and he survived. Romex wiring had chafed and energized a steel piling.",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2000-09-30-1.md,ESD-2000-09-30-1,2000-09-30,2000,TN,Tims Ford Lake,None,,2,fatal,CONFIRMED,True,#94 (Rev. 8/15/2025),4,4,1,ESDPA,"Two young men (ages 21 and 22) died from electric shock drowning after jumping from their dock at Tims Ford Lake, Winchester, Tennessee. A live wire in the water near the dock was found; the cause was improperly installed electrical work on a newly constructed dock. A rescue diver also felt electric",FATAL_ANONYMOUS,other:Mike Holt Enterprises | other:Mike Holt Enterprises (earlier compilation) | other:OnTime Service,D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-2000-09-30-2.md,ESD-2000-09-30-2,2000-09-30,2000,OH,Lake Erie,Possibly Crew's Nest (per local source),,1,fatal,UNVERIFIED,True,#92 (Rev. 8/15/2025),0,0,0,ESDPA,"A young bystander disappeared while trying to retrieve sunglasses that went overboard near a Grand Banks 42 powerboat at Put-in-Bay, Ohio (Lake Erie). Electric shock drowning was the cause. A local tourism website references an earlier electrocution 'in front of the Crew's Nest' involving a young ma",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2001-04-10-1.md,ESD-2001-04-10-1,2001-04-10,2001,LA,None,None,,1,fatal,UNVERIFIED,True,#91 (Rev. 8/15/2025),0,0,0,ESDPA,"A boy was electrocuted while using a conveyor to transfer shrimp in New Orleans, Louisiana. No ground was present on the equipment. This occurred in a salt water / commercial fishing context rather than a recreational marina setting. The ESDPA list classifies it under Electric Shock Drownings, but t",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2001-06-06-1.md,ESD-2001-06-06-1,2001-06-06,2001,AR,Lake Hamilton,Farr Shores,,1,fatal,UNVERIFIED,True,#89 (Rev. 8/15/2025),0,0,0,ESDPA,"At Farr Shores on Lake Hamilton, Hot Springs, Arkansas, a girl was shocked after water-sliding into the water at the stern of a boat. A man who attempted to rescue her drowned. The boat had reverse polarity, a neutral-ground fault in a light fixture, and poor bonding to the service. The boat was unp",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2001-09-15-1.md,ESD-2001-09-15-1,2001-09-15,2001,MS,Biloxi Bay,"Bay Marine Boat Works (151 5th St, Biloxi, MS 39530)",,1,fatal,UNVERIFIED,True,#88 (Rev. 8/15/2025),0,0,0,ESDPA,"A person was electrocuted at Bay Marine Boat Works in Biloxi, Mississippi. Reverse polarity from recent electrical work was the cause. Multiple people were reportedly shocked. The business (established 1981, owner Paul Bodin) still operates at 151 5th St, Biloxi. The date of September 15, 2001 — fou",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2002-00-00-1.md,ESD-2002-00-00-1,2002,2002,FL,None,Multiple Florida marinas (aggregate report),,0,near-miss,UNVERIFIED,True,,0,1,0,ESDPA,"Interviews with divers in Florida during 2002-2003 revealed many reports of high-level tingle while cleaning boat bottoms. All incidents occurred in salt water with no fatalities. This is an aggregate report, not a single incident.",ESDPA_ONLY_NO_INDEP | NO_PRIMARY_SOURCES,other:2 Cool Fishing Forum,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2002-05-00-1.md,ESD-2002-05-00-1,2002-05,2002,KY,Lake Cumberland,Marina houseboat dock,,2,fatal,CONFIRMED,True,FI-2002-002 (project file),1,1,1,ESDPA,"A mother and her adult daughter drowned while swimming from the sundeck of a moored houseboat on Lake Cumberland during Memorial Day weekend 2002. A third daughter survived. The houseboat owner had modified the shore power connection, changing incoming power from 125V to 125/250V and miswiring the g",FATAL_ANONYMOUS,news:EC&M (Electrical Construction & Maintenance),D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-2002-05-00-2.md,ESD-2002-05-00-2,2002-05,2002,TX,Apartment complex swimming pool,"Apartment complex pool, Arlington TX",,1,fatal,CONFIRMED,False,,1,1,1,LOA4,"A 14-year-old girl was electrocuted in an apartment complex swimming pool in Arlington, Texas in May 2002. Faulty wiring in underwater pool lighting energized the water. A 16-year-old male who jumped in to rescue her was severely shocked but survived after a third person used a fiberglass shepherd's",NOVEL_LOW_INDEP | FATAL_ANONYMOUS,government:U.S. Consumer Product Safety Commission (CPSC),A: Novel + thin,"Find second independent source, or mark SUSPECTED",medium
ESD-2002-07-00-1.md,ESD-2002-07-00-1,2002-07,2002,GA,Allatoona Lake,None,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,"Three swimmers were in distress near a houseboat at Allatoona Lake, GA. A bystander pulled the shore cord and all three were saved. One person spent days in the hospital. Same lake as a fatal ESD incident.",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2002-10-00-1.md,ESD-2002-10-00-1,2002-10,2002,SC,Lake Murray,None,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,"A swimmer at Lake Murray, SC reported a strong tingle. Investigation found high-level fault currents in the dock frame. Fresh water environment.",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2003-05-00-1.md,ESD-2003-05-00-1,2003-05,2003,GA,Allatoona Lake,Private houseboat dock,,0,non-fatal,UNVERIFIED,True,FI-2003-003 (project file); #85 (Rev. 8/15/2025),0,0,0,ESDPA,"Wildlife-only incident. Six ducks were killed when a shore power cord fell into the water as a houseboat pulled away from a dock at Allatoona Lake, Georgia. The 125V plug at the boat end of the shore cord had been rewired by the owner for 220V service, with L2 connected to the ground pin and the gro",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2003-08-00-1.md,ESD-2003-08-00-1,2003-08,2003,KY,Green River Lake,None,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,A marina manager at Green River Lake found a houseboat with 4 amps of leakage and 8 VAC hull potential after a child reported a tingle. The boat was rewired and leakage was cleared. Same location as another near-miss incident.,ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2004-05-31-1.md,ESD-2004-05-31-1,2004-05-31,2004,KY,Lake Barkley,None,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,"Two women swimming near a rented houseboat at Lake Barkley, Grand Rivers, KY felt strong electric shock. They swam away. A relative confirmed the same experience. Disconnecting shore power resolved the issue.",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2004-06-05-1.md,ESD-2004-06-05-1,2004-06-05,2004,NC,Lake Wylie,Houseboat dock,,1,fatal,UNVERIFIED,True,FI-2003-001 (project file); #39 (earlier ESDPA list revisions),0,0,0,ESDPA,Two boys were swimming at the bow of a houseboat at Lake Wylie when they called for help. The father of one victim and a friend rushed forward. One boy on the ladder said he was being shocked. The other boy in the water was not moving. The friend rushed aft to pull the shore cord (disconnecting shor,ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2004-06-19-1.md,ESD-2004-06-19-1,2004-06-19,2004,TX,Lake Travis,Marina dock,,1,fatal,UNVERIFIED,True,FI-2004-004 (project file),0,0,0,ESDPA,"A young man disappeared between marina dock sections at Lake Travis, Austin, Texas. Joule marks (electrical burn marks) were found during postmortem examination, and electric shock drowning was suspected as the cause of death.",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2004-06-19-2.md,ESD-2004-06-19-2,2004-06-19,2004,NC,Lake Waccamaw,Private dock with motorized boat lift,,1,fatal,CONFIRMED,True,FI-2004-005 (project file),1,1,1,ESDPA,"A 10-year-old boy was electrocuted while swimming near a dock with a motorized boat lift at Lake Waccamaw, North Carolina. His grandfather had raised the boat lift rails about 2 feet above the water to create more swimming space. Children playing in the water reported feeling 'tingles' in their legs",FATAL_ANONYMOUS,news:EC&M (Electrical Construction & Maintenance),D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-2004-07-00-1.md,ESD-2004-07-00-1,2004-07,2004,AZ,Saguaro Lake,Saguaro Lake Marina,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,"A diver doing dock maintenance at Saguaro Lake, AZ felt tingling near a pontoon houseboat. The shore cable was disconnected and work resumed without incident.",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
ESD-2004-07-00-2.md,ESD-2004-07-00-2,2004-07,2004,CA,Sacramento River,None,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,A man was shocked entering the water near boats on generator power on the Sacramento River. Two men jumped in to rescue him; one rescuer was also imperiled. The generator was secured. All survived.,ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, recent",Search news + obituaries for named victim,easy
