file,incident_id,date,year,date_precision,state,county,city,body_of_water,facility_name,has_coordinates,incident_type,fatality_count,injury_count,near_miss_count,victim_count,victims_named,victims_age_known,victims_gender_known,electrical_source,water_type,voltage_reported,has_fault_description,is_freshwater_private_dock,is_freshwater_marina,setting_classifier_confidence,verification_level,esdpa_listed,esdpa_entry_count,esdpa_entry_numbers,esdpa_date_correct,esdpa_date_listed,esdpa_data_issue_count,esdpa_data_issues,discovery_source,additional_sources,independent_source_count_yaml,sources_total,sources_primary,sources_by_type,distinct_outlets,project_refs_count,has_notes,has_research_notes,missing_key_fields,audit_flags,audit_flag_count
ESD-1988-04-21-1.md,ESD-1988-04-21-1,1988-04-21,1988,exact,NY,Albany,Albany,Indian Lake (campus pond),State University of New York at Albany (SUNY Albany),False,fatal,1,2,0,3,3,1,3,other,fresh,False,True,False,False,low,VERIFIED,True,1,#111 (Rev. 8/15/2025),False,1988-07,2,"ESDPA date listed as July 1988; correct date is April 21, 1988 per UPI, NYT, and The Athletic; ESDPA says 'New York State University at Albany'; correct name is 'State University of New York at Albany' (SUNY Albany)",ESDPA,,5,5,3,"{""news"": 3, ""other"": 2}",5,1,True,True,,ESDPA_DEVIATION,1
ESD-1988-04-23-1.md,ESD-1988-04-23-1,1988-04-23,1988,exact,OK,,,,,False,fatal,1,0,0,1,0,0,1,other,fresh,False,True,False,False,low,UNVERIFIED,True,1,#110 (Rev. 8/15/2025),True,,2,"No specific lake or location identified; CDC MMWR report on Oklahoma lake deaths (1989-1993) does not include this 1988 incident, but establishes pattern at same lake system",ESDPA,,0,0,0,{},0,1,True,True,"body_of_water, facility_name","ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:body_of_water,facility_name | ESDPA_DEVIATION",5
ESD-1989-06-01-1.md,ESD-1989-06-01-1,1989-06-01,1989,exact,OK,,,Lake B (southern Oklahoma — lake name anonymized by CDC),,False,fatal,1,0,0,1,0,1,1,dock_wiring,fresh,True,True,False,False,low,CONFIRMED,False,0,,,,0,,LOA4,,1,1,1,"{""government"": 1}",1,1,True,True,facility_name,NOVEL_LOW_SOURCES | NO_VICTIM_NAMED | MISSING:facility_name,3
ESD-1989-12-08-1.md,ESD-1989-12-08-1,1989-12-08,1989,exact,OK,,,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,False,fatal,1,0,0,1,0,1,1,other,fresh,False,True,False,False,low,CONFIRMED,True,1,#109 (Rev. 8/15/2025),True,,2,"ESDPA describes cause as 'fault in dock wiring'; CDC report clarifies victim was rewiring a submerged water pump (occupational, not recreational); Exact date (December 8, 1989) confirmed by CDC MMWR; ESDPA listed only 'December 1989'",ESDPA,,1,1,1,"{""government"": 1}",1,1,True,True,facility_name,NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,3
ESD-1991-07-00-1.md,ESD-1991-07-00-1,1991-07,1991,month,AR,Garland,Hot Springs,Lake Hamilton,,False,fatal,1,0,0,1,0,0,1,dock_wiring,fresh,False,True,False,False,low,CONFIRMED,True,1,#108 (Rev. 8/15/2025),True,,2,"Date listed as approximate (month only); Some ESDPA versions list date as May 11, 1991 — may be confused with FI-1991-001 (Oklahoma)",ESDPA,LOA6,1,1,1,"{""news"": 1}",1,2,True,True,facility_name,NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,3
ESD-1991-07-24-1.md,ESD-1991-07-24-1,1991-07-24,1991,exact,OK,,,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,False,fatal,1,1,0,2,0,1,2,dock_wiring,fresh,False,True,False,False,low,CONFIRMED,True,1,#107 (Rev. 8/15/2025),False,1991-05-11,3,"ESDPA date listed as May 11, 1991; CDC MMWR gives date as July 24, 1991; ESDPA describes 'fault in dock lights energized dock frame'; CDC describes 'electrical short in dock wiring' without mentioning lights; CDC rules cause of death as electrocution (on-dock), not drowning — classification as ESD is questionable",ESDPA,,1,1,1,"{""government"": 1}",1,1,True,True,facility_name,NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,3
ESD-1993-07-00-1.md,ESD-1993-07-00-1,1993-07,1993,month,NY,Jefferson,Alexandria Bay,St. Lawrence River (Thousand Islands),,False,fatal,2,2,0,2,0,0,2,dock_wiring,fresh,False,True,False,False,low,UNVERIFIED,True,1,#106 (Rev. 8/15/2025),True,,2,Date approximate (month only); some sources list August 1993 instead of July; Two bystanders reportedly shocked and hospitalized (per secondary ESD sources) but not noted in primary ESDPA entry,ESDPA,LOA2,0,0,0,{},0,3,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,5
ESD-1993-07-27-1.md,ESD-1993-07-27-1,1993-07-27,1993,exact,OK,,,Lake A (northeastern Oklahoma — lake name anonymized by CDC; likely Grand Lake O' the Cherokees),,False,fatal,1,0,0,1,0,1,1,dock_wiring,fresh,False,True,False,False,low,CONFIRMED,False,0,,,,0,,LOA4,,1,1,1,"{""government"": 1}",1,1,True,True,facility_name,NOVEL_LOW_SOURCES | NO_VICTIM_NAMED | MISSING:facility_name,3
ESD-1993-09-00-1.md,ESD-1993-09-00-1,1993-09,1993,month,TX,,,,,False,fatal,1,0,0,1,0,0,1,boat_lift,salt,False,True,False,False,high,UNVERIFIED,True,1,#104 (Rev. 8/15/2025),True,,3,Date listed as approximate (month only); some ESDPA versions list 'approximately 1994'; Salt water ESD is scientifically unusual — classification as ESD may be questionable; Cause of death listed as 'not available' in ESDPA,ESDPA,,0,0,0,{},0,1,True,True,"body_of_water, facility_name","ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:body_of_water,facility_name | ESDPA_DEVIATION",5
ESD-1993-09-05-1.md,ESD-1993-09-05-1,1993-09-05,1993,exact,OK,,,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,False,fatal,1,0,0,1,0,1,1,other,fresh,False,True,False,False,low,CONFIRMED,True,1,#105 (Rev. 8/15/2025),False,1993-08,2,"ESDPA date listed as August 1993; CDC MMWR confirms September 5, 1993; ESDPA classifies as 'drowning' under Electric Shock Drownings section; medical examiner ruled cause of death as electrocution, not drowning",ESDPA,,1,1,1,"{""government"": 1}",1,1,True,True,facility_name,NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,3
ESD-1994-00-00-1.md,ESD-1994-00-00-1,1994,1994,year,DC,,Washington,Potomac River,Bolling Air Force Base (now Joint Base Anacostia-Bolling),False,fatal,1,0,0,1,0,0,1,other,fresh,False,True,False,False,low,UNVERIFIED,True,1,#103 (Rev. 8/15/2025),True,,2,"Date listed as 'approximately 1994'; an earlier ESDPA version gives 'February 1995'; Victim described only as 'young boy' — no name, age, or other details",ESDPA,,0,0,0,{},0,1,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
ESD-1994-00-00-2.md,ESD-1994-00-00-2,1994,1994,year,TX,,,,,False,fatal,1,0,0,1,0,0,1,boat_lift,salt,False,True,False,False,high,SUSPECTED,False,0,,,,0,,LOA1,,1,1,0,"{""other"": 1}",1,1,True,True,"body_of_water, facility_name","NOVEL_LOW_SOURCES | NO_VICTIM_NAMED | MISSING:body_of_water,facility_name",3
ESD-1995-02-00-1.md,ESD-1995-02-00-1,1995-02,1995,month,NV,Clark,,Lake Mead,,False,fatal,1,0,0,1,0,0,1,shore_power,fresh,False,True,False,False,low,UNVERIFIED,True,1,#102 (Rev. 8/15/2025),True,,2,Date listed as 'February 1995' in Rev. 8/15/2025; earlier ESDPA versions list 'July 1997' for same description; Date conflict unresolvable without additional sources — may be error in either version,ESDPA,,0,0,0,{},0,1,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,5
ESD-1995-08-00-1.md,ESD-1995-08-00-1,1995-08,1995,month,KY,Russell,Jamestown,Lake Cumberland,Jamestown Resort and Marina,False,near-miss,0,0,7,1,0,0,1,shore_power,fresh,False,True,False,True,high,UNVERIFIED,True,0,,True,,0,,ESDPA,,0,0,0,{},0,1,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST,2
ESD-1997-07-00-1.md,ESD-1997-07-00-1,1997-07,1997,month,DC,,Washington,Anacostia River / Potomac River,"Air Force Base, Washington DC (likely Bolling AFB / Joint Base Anacostia-Bolling)",False,fatal,1,0,0,1,0,0,1,dock_wiring,fresh,False,True,False,False,low,UNVERIFIED,True,1,#101 (Rev. 8/15/2025),False,1997-07,3,"ESDPA lists date as July 1997, but incident involved boy 'walking on ice' — impossible in Washington DC in July; actual date likely a winter month (possibly January 1997); Internal contradiction between date and description is unresolvable without independent sources; Second fatal electrocution of a boy at same Air Force base; see also FI-1994-001",ESDPA,,0,0,0,{},0,1,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
ESD-1997-07-00-2.md,ESD-1997-07-00-2,1997-07,1997,month,NV,Clark,,Lake Mead,,False,fatal,1,0,0,1,0,0,1,shore_power,fresh,False,True,False,False,low,SUSPECTED,False,0,,,,0,,LOA1,,1,1,0,"{""other"": 1}",1,1,True,True,facility_name,NOVEL_LOW_SOURCES | NO_VICTIM_NAMED | MISSING:facility_name,3
ESD-1998-07-03-1.md,ESD-1998-07-03-1,1998-07-03,1998,exact,WA,Chelan,Chelan,Lake Chelan,,False,near-miss,0,1,2,2,0,1,2,dock_wiring,fresh,False,True,False,False,low,UNVERIFIED,True,0,,True,,0,,ESDPA,LOA1,1,1,0,"{""other"": 1}",1,2,True,True,facility_name,MISSING:facility_name,1
ESD-1998-09-00-1.md,ESD-1998-09-00-1,1998-09,1998,month,CA,Sonoma,Healdsburg,Lake Sonoma,Lake Sonoma Marina (operated by concessionaire for US Army Corps of Engineers),False,fatal,1,0,0,1,1,1,1,dock_wiring,fresh,False,True,False,True,high,VERIFIED,True,1,#100 (Rev. 8/15/2025),True,,1,Date listed as 'approximately 1998'; confirmed as September 1998 by multiple sources,ESDPA,,6,6,6,"{""legal"": 1, ""news"": 5}",5,1,True,True,,ESDPA_DEVIATION,1
ESD-1998-09-00-2.md,ESD-1998-09-00-2,1998-09,1998,month,CA,Solano,Rio Vista,Sacramento River / Sacramento-San Joaquin River Delta,,False,fatal,2,0,0,2,0,0,2,dock_wiring,fresh,False,True,False,True,medium,UNVERIFIED,True,1,#99 (Rev. 8/15/2025),True,,3,Date listed as approximate (month only); year could be 1998 or 1999; Victim ages listed as '8-10' without specifics; Other boys reported feeling a tingle before the fatal incident,ESDPA,LOA2,0,0,0,{},0,3,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,5
ESD-1999-07-00-1.md,ESD-1999-07-00-1,1999-07,1999,month,SC,,,,,False,fatal,1,1,0,2,0,0,2,unknown,fresh,False,False,False,False,low,UNVERIFIED,True,1,#98 (Rev. 8/15/2025),True,,3,ESDPA says 'single drowning' but narrative describes husband drowning during rescue; wife's fate unclear; Source notes 'Dead: 2' but only husband's death is explicitly described; wife may have survived; No specific location within South Carolina identified,ESDPA,,0,0,0,{},0,1,True,True,"body_of_water, facility_name","ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:body_of_water,facility_name | ESDPA_DEVIATION",5
ESD-1999-07-00-2.md,ESD-1999-07-00-2,1999-07,1999,month,AZ,Mohave,,Lake Mohave,,False,fatal,1,0,0,1,0,0,1,shore_power,fresh,True,True,False,False,low,SUSPECTED,False,0,,,,0,,LOA1,,2,1,0,"{""other"": 1}",1,1,True,True,facility_name,NO_VICTIM_NAMED | MISSING:facility_name,2
ESD-1999-07-18-1.md,ESD-1999-07-18-1,1999-07-18,1999,exact,AZ,Mohave,,Lake Mohave,,False,fatal,1,0,0,1,0,0,1,shore_power,fresh,False,True,False,False,low,UNVERIFIED,True,1,#96 (Rev. 8/15/2025),True,,0,,ESDPA,,0,0,0,{},0,1,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:facility_name,4
ESD-1999-07-18-2.md,ESD-1999-07-18-2,1999-07-18,1999,exact,TN,DeKalb,Smithville,Center Hill Lake,Sligo Marina (B pier),False,fatal,1,1,0,2,0,2,2,shore_power,fresh,False,True,False,True,high,UNVERIFIED,True,1,#97 (Rev. 8/15/2025),True,,2,"ESDPA lists lake as 'Cedar Hill Lake'; correct name is 'Center Hill Lake' (US Army Corps of Engineers reservoir); No 'Cedar Hill Lake' exists near Smithville, TN; the actual Cedar Hill Lake is a small lake in Davidson County, ~60 miles away",ESDPA,LOA6,0,0,0,{},0,2,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
ESD-1999-08-01-1.md,ESD-1999-08-01-1,1999-08-01,1999,exact,OR,Columbia,Scappoose,Multnomah Channel (Willamette River),,False,fatal,1,1,0,2,2,1,2,shore_power,fresh,True,True,False,False,low,VERIFIED,True,1,#95 (Rev. 8/15/2025),False,1999-07,2,"ESDPA date listed as July 1999; correct date is August 1, 1999 per multiple sources; ESDPA describes victim as 'tubing'; multiple sources say he was 'swimming' with life jacket",ESDPA,LOA1,5,5,3,"{""news"": 3, ""other"": 2}",5,2,True,True,facility_name,MISSING:facility_name | ESDPA_DEVIATION,2
ESD-2000-00-00-1.md,ESD-2000-00-00-1,2000,2000,year,TN,,Lafollette,Norris Lake,Whitman Hollow Marina,False,fatal,1,1,0,2,0,0,2,shore_power,fresh,False,True,False,True,high,UNVERIFIED,True,1,#93 (Rev. 8/15/2025),True,,1,Year uncertain: listed as '2000 or 2001' in ESDPA; filed under 2000 as default,ESDPA,LOA6,0,0,0,{},0,2,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
ESD-2000-09-00-1.md,ESD-2000-09-00-1,2000-09,2000,month,NY,Erie,Grand Island,Niagara River,,False,near-miss,0,0,1,1,0,0,1,dock_wiring,fresh,False,True,False,False,low,UNVERIFIED,True,0,,True,,0,,ESDPA,,0,0,0,{},0,1,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | MISSING:facility_name,3
ESD-2000-09-30-1.md,ESD-2000-09-30-1,2000-09-30,2000,exact,TN,Franklin,Winchester,Tims Ford Lake,,False,fatal,2,0,1,2,0,2,2,dock_wiring,fresh,False,True,True,False,high,CONFIRMED,True,1,#94 (Rev. 8/15/2025),False,1999-08-01,2,"ESDPA date listed as August 1, 1999; multiple independent sources confirm September 30, 2000; August 1, 1999 date likely confused with the Lucas Ritz ESD death in Portland, Oregon",ESDPA,LOA6,4,4,1,"{""legal"": 1, ""other"": 3}",4,2,True,True,facility_name,NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,3
ESD-2000-09-30-2.md,ESD-2000-09-30-2,2000-09-30,2000,exact,OH,Ottawa,Put-in-Bay,Lake Erie,Possibly Crew's Nest (per local source),False,fatal,1,0,0,1,0,0,1,shore_power,fresh,False,True,False,False,low,UNVERIFIED,True,1,#92 (Rev. 8/15/2025),True,,2,"In 2017, WTOL reported the Evan Currie death as 'the first electric-shock drowning ever reported in the state of Ohio' — raising questions about whether this 2000 incident was ever reported/classified as ESD; A local tourism site references an earlier electrocution 'in front of the Crew's Nest' but gives no date or name",ESDPA,,0,0,0,{},0,1,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
ESD-2001-04-10-1.md,ESD-2001-04-10-1,2001-04-10,2001,exact,LA,,New Orleans,,,False,fatal,1,0,0,1,0,0,1,other,salt,False,True,False,False,high,UNVERIFIED,True,1,#91 (Rev. 8/15/2025),True,,3,Commercial/fishing context rather than recreational marina setting; Description says 'electrocuted' not 'drowned' — may not be ESD in the traditional sense; Victim described as 'a boy' suggesting a minor working in commercial fishing,ESDPA,,0,0,0,{},0,1,True,True,"body_of_water, facility_name","ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:body_of_water,facility_name | ESDPA_DEVIATION",5
ESD-2001-06-06-1.md,ESD-2001-06-06-1,2001-06-06,2001,exact,AR,Garland,Hot Springs,Lake Hamilton,Farr Shores,False,fatal,1,1,0,2,0,0,2,shore_power,fresh,False,True,False,False,low,UNVERIFIED,True,1,#89 (Rev. 8/15/2025),True,,3,"Date uncertain: Rev. 8/15/2025 lists June 6, 2001; earlier (2007) ESDPA version lists September 15, 2001; September 15 date may have been swapped with FI-2001-001 (Biloxi) in a later revision; Second of three ESD fatalities at Lake Hamilton (see also 1991 and 2008)",ESDPA,LOA2; LOA6,0,0,0,{},0,3,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
ESD-2001-06-22-1.md,ESD-2001-06-22-1,2001-06-22,2001,exact,VA,Prince William,Dumfries,Lake Montclair,"Private dock, Timber Ridge Drive, Montclair community",False,fatal,2,1,0,3,3,3,3,charger,fresh,True,True,True,False,high,VERIFIED,True,1,#90 (Rev. 8/15/2025),False,2001-05,1,"ESDPA date listed as May 2001; correct date is June 22, 2001 per Washington Post and obituary",ESDPA,,3,3,3,"{""news"": 2, ""obituary"": 1}",2,1,True,True,,ESDPA_DEVIATION,1
ESD-2001-09-15-1.md,ESD-2001-09-15-1,2001-09-15,2001,exact,MS,Harrison,Biloxi,Biloxi Bay,"Bay Marine Boat Works (151 5th St, Biloxi, MS 39530)",False,fatal,1,0,0,1,0,0,1,dock_wiring,salt,False,True,False,False,high,UNVERIFIED,True,1,#88 (Rev. 8/15/2025),True,,3,"ESDPA lists name as 'Bay Marina Boat Works'; correct business name is 'Bay Marine Boat Works'; Date (September 15, 2001) is 4 days after 9/11, which may explain lack of media coverage; Earlier ESDPA version (2007) listed this date for the Farr Shores/Lake Hamilton incident instead",ESDPA,,0,0,0,{},0,1,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
ESD-2002-00-00-1.md,ESD-2002-00-00-1,2002,2002,year,FL,,,,Multiple Florida marinas (aggregate report),False,near-miss,0,0,1,1,0,0,1,shore_power,salt,False,True,False,False,high,UNVERIFIED,True,0,,True,,2,"Aggregate report spanning 2002-2003, not a single incident; No specific dates, locations, or victim names",ESDPA,,0,1,0,"{""other"": 1}",1,1,True,True,body_of_water,ESDPA_ONLY_NO_INDEP | MISSING:body_of_water | ESDPA_DEVIATION,3
ESD-2002-05-00-1.md,ESD-2002-05-00-1,2002-05,2002,month,KY,Wayne,Monticello,Lake Cumberland,Marina houseboat dock,False,fatal,2,0,0,2,0,0,2,shore_power,fresh,True,True,False,True,high,CONFIRMED,True,1,FI-2002-002 (project file),False,2002-03,2,"ESDPA date listed as March 2002; EC&M article says Memorial Day (May 27, 2002); ESDPA detailed list says May 31, 2002; Correct month is May 2002, not March",ESDPA,LOA2,1,1,1,"{""news"": 1}",1,2,True,True,,NO_VICTIM_NAMED | ESDPA_DEVIATION,2
ESD-2002-05-00-2.md,ESD-2002-05-00-2,2002-05,2002,month,TX,Tarrant,Arlington,Apartment complex swimming pool,"Apartment complex pool, Arlington TX",False,fatal,1,1,0,2,0,2,2,pool_pump,pool,False,True,False,False,high,CONFIRMED,False,0,,,,0,,LOA4,,1,1,1,"{""government"": 1}",1,1,True,True,,NOVEL_LOW_SOURCES | NO_VICTIM_NAMED,2
ESD-2002-07-00-1.md,ESD-2002-07-00-1,2002-07,2002,month,GA,,,Allatoona Lake,,False,near-miss,0,1,2,3,0,0,3,shore_power,fresh,False,True,False,False,low,UNVERIFIED,True,0,,True,,0,,ESDPA,,0,0,0,{},0,1,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | MISSING:facility_name,3
ESD-2002-10-00-1.md,ESD-2002-10-00-1,2002-10,2002,approximate,SC,,,Lake Murray,,False,near-miss,0,0,1,1,0,0,1,dock_wiring,fresh,False,True,False,False,low,UNVERIFIED,True,0,,True,,1,Date listed as 'Fall 2002' — approximate,ESDPA,,0,0,0,{},0,1,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | DATE_WEAK | MISSING:facility_name | ESDPA_DEVIATION,5
ESD-2003-05-00-1.md,ESD-2003-05-00-1,2003-05,2003,month,GA,,,Allatoona Lake,Private houseboat dock,False,non-fatal,0,0,0,0,0,0,0,shore_power,fresh,True,True,True,False,high,UNVERIFIED,True,2,FI-2003-003 (project file); #85 (Rev. 8/15/2025),True,,2,"Date may be June 2003 rather than May 2003; some ESDPA-derived summaries reference June; Wildlife-only incident: six ducks killed, no human casualties",ESDPA,,0,0,0,{},0,1,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | ESDPA_DEVIATION,3
ESD-2003-05-08-1.md,ESD-2003-05-08-1,2003-05-08,2003,exact,FL,Lee,North Fort Myers,Canal (Caloosahatchee River estuary area),Private dock with boat lift,False,fatal,2,0,0,2,2,2,2,boat_lift,salt,False,True,False,False,high,VERIFIED,True,1,FI-2002-001 (project file),False,2002-05-31,2,"ESDPA date wrong by nearly a year: listed as May 31, 2002; correct date is May 8, 2003; ESDPA location listed as Cape Coral FL; correct location is North Fort Myers FL",ESDPA,,3,3,3,"{""news"": 1, ""obituary"": 2}",3,1,True,True,,ESDPA_DEVIATION,1
